These	These	np1	These	Theise	0
be	be	vbb	be	be	0
the	the	dt	the	the	0
grievances	grievances	n2	grievances	grievance	0
and	and	cc	and	and	0
offences	offences	n2	offences	offence	0
,	,	,	,	,	0
whereat	whereat	c-crq	whereat	whereat	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
of	of	pp-f	of	of	0
Almaine	Almaine	njp	Almain	almain	0
,	,	,	,	,	0
comming	comming	vvg	coming	come	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
and	and	cc	and	and	0
residing	residing	vvg	residing	reside	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
finde	finde	vvi	find	find	0
themselves	themselves	px32	themselves	themselves	0
aggrieved	aggrieved	vvn	aggrieved	aggrieve	0
,	,	,	,	,	0
contrarie	contrarie	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
and	and	cc	and	and	0
privileges	privileges	n2	privileges	privilege	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Charter	Charter	n1	Charter	charter	0
graunted	graunted	vvd	granted	grant	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
worthy	worthy	j	worthy	worthy	0
Progenitors	Progenitors	n2	Progenitors	progenitor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
that	that	cst	that	that	0
now	now	av	now	now	0
is	is	vbz	is	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
the	the	dt	the	the	0
King	King	n1	King	king	0
,	,	,	,	,	0
ratified	ratified	vvn	ratified	ratify	0
,	,	,	,	,	0
and	and	cc	and	and	0
confirmed	confirmed	vvn	confirmed	confirm	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Mprimis	Mprimis	fw-la	Mprimis	mprimis	0
,	,	,	,	,	0
whereas	whereas	cs	whereas	whereas	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
privilege	privilege	n1	privilege	privilege	0
graunted	graunted	vvd	granted	grant	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
Charter	Charter	n1	Charter	charter	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
boroughs	boroughs	n2	boroughs	borough	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
towns	towns	n2	towns	town	0
and	and	cc	and	and	0
villages	villages	n2	villages	village	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
exercise	exercise	vvb	exercise	exercise	0
traffique	traffique	vvi	traffic	traffic	0
in	in	p-acp	in	in	0
grosse	grosse	j	gross	gross	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
wel	wel	av	well	well	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
as	as	c-acp	as	as	0
with	with	p-acp	with	with	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
and	and	cc	and	and	0
private	private	j	private	private	0
persons	persons	n2	persons	person	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
,	,	,	,	,	0
those	those	d	those	those	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
free	free	j	free	free	0
denizens	denizens	n2	denizens	denizen	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
boroughs	boroughs	n2	boroughs	borough	0
,	,	,	,	,	0
and	and	cc	and	and	0
villages	villages	n2	villages	village	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
kingdome	kingdome	n1	kingdom	kingdom	0
,	,	,	,	,	0
do	do	vdb	do	do	0
hinder	hinder	vvi	hinder	hinder	0
and	and	cc	and	and	0
restrain	restrain	vvi	restrain	restrain	0
all	all	d	all	all	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
strangers	strangers	n2	strangers	stranger	0
,	,	,	,	,	0
foreners	foreners	n2	foreigners	foreigner	0
,	,	,	,	,	0
and	and	cc	and	and	0
aliens	aliens	n2-jn	aliens	alien	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
neither	neither	av-dx	neither	neither	0
can	can	vmb	can	can	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
dare	dare	vvb	dare	dare	0
buy	buy	vvi	buy	buy	0
and	and	cc	and	and	0
sei	sei	n1	sei	sei	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
great	great	j	great	great	0
