1572-87	1572-87	j	1572-87	1572-87	0
.	.	.	.	.	0
fell	fell	vvd	fell	fall	0
out	out	av	out	out	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
hulke	hulke	n1	hulk	hulk	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
being	being	vbg	being	be	0
devided	devided	vvn	divided	divide	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
Thehulkeof	Thehulkeof	av	Thehulkeof	thehulkeof	0
a	a	dt	a	a	0
calme	calme	j-jn	calm	calm	0
,	,	,	,	,	0
fell	fell	vvd	fell	fall	0
afire	afire	av	afire	afire	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
great	great	j	great	great	0
negligence	negligence	n1	negligence	negligence	0
,	,	,	,	,	0
and	and	cc	and	and	0
per	per	fw-la	per	per	0
-	-	-	-	-	0
^s^ngJ	^s^ngJ	np2	^s^ngJ	^s^ngJ	0
>	>	>	>	>	0
urnt	urnt	j-vvn	urnt	urnt	0
ished	ished	vvn	ished	ish	0
by	by	p-acp	by	by	0
that	that	d	that	that	0
meanes	meanes	n2	means	mean	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
seas	seas	n2	seas	sea	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
men	men	n2	men	man	0
ne^	ne^	n1	ne^	ne^	0
any	any	d	any	any	0
wayes	wayes	n2	ways	way	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
the	the	dt	the	the	0
men	men	n2	men	man	0
.	.	.	.	.	0
gence	gence	n1	gence	gence	0
.	.	.	.	.	1
The	The	dt	The	the	0
4	4	crd	4	4	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
brought	brought	vvn	brought	bring	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
41	41	crd	41	41	0
degrees	degrees	n2	degrees	degree	0
&	&	cc	&	and	0
20	20	crd	20	20	0
minutes	minutes	n2	minutes	minute	0
,	,	,	,	,	0
somewhat	somewhat	av	somewhat	somewhat	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northwards	Northwards	n2	Northwards	northward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Azores	Azores	n2	Azores	azore	0
:	:	:	:	:	0
and	and	cc	and	and	0
thus	thus	av	thus	thus	0
bulting	bulting	vvg	bulting	bult	0
up	up	a-acp	up	up	0
and	and	cc	and	and	0
downe	downe	a-acp	down	down	0
with	with	p-acp	with	with	0
contrary	contrary	j-jn	contrary	contrary	0
winds	winds	n2	winds	wind	0
,	,	,	,	,	0
the	the	dt	the	the	0
29	29	crd	29	29	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
moneth	moneth	n1	month	month	0
,	,	,	,	,	0
we	we	pns12	we	we	0
reached	reached	vvd	reached	reach	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
made	made	vvd	made	make	0
an	an	dt	and	a	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
A	A	dt	A	a	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np2	Indies	Indies	0
and	and	cc	and	and	0
South	South	np1	South	South	0
sea	sea	n1	sea	sea	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Lopez	Lopez	np1	Lopez	Lopez	0
Vaz	Vaz	np1	Vaz	Vaz	0
a	a	dt	a	a	0
Portugal	Portugal	np1	Portugal	Portugal	0
,	,	,	,	,	0
borne	borne	vvn	born	bear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Elvas	Elvas	np1	Elvas	Elvas	0
,	,	,	,	,	0
continued	continued	vvn	continued	continue	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1587.	1587.	crd	1587.	1587.	1
