Hereafter	Hereafter	av	Hereafter	hereafter	0
followeth	followeth	vvz	follows	follow	0
a	a	dt	a	a	0
Ruttier	Ruttier	jc	Ruttier	rutty	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Streight	Streight	n1	Straight	strait	0
of	of	pp-f	of	of	0
Magelane	Magelane	np1	Magelane	Magelane	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
cape	cape	n1	cape	cape	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Maria	Maria	np1	Maria	Maria	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
35	35	crd	35	35	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cape	Cape	n1	Cape	cape	0
de	de	fw-fr	de	de	0
Santo	Santo	np1	Santo	Santo	0
Antonio	Antonio	np1	Antonio	Antonio	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
are	are	vbr	are	be	0
30	30	crd	30	30	0
leagues	leagues	n2	leagues	league	0
Northnortheast	Northnortheast	n1	Northnortheast	northnortheast	0
,	,	,	,	,	0
&	&	cc	&	and	0
Southsouthwest	Southsouthwest	n1	Southsouthwest	southsouthwest	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
broadest	broadest	js	broadest	broad	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
.	.	.	.	.	1
And	And	cc	And	and	0
this	this	d	this	this	0
cape	cape	n1	cape	cape	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
36	36	crd	36	36	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
a	a	dt	a	a	0
halfe	halfe	n-jn	half	half	0
,	,	,	,	,	0
and	and	cc	and	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
blacke	blacke	j-jn	black	black	0
grosse	grosse	j	gross	gross	0
land	land	n1	land	land	0
.	.	.	.	.	1
And	And	cc	And	and	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
marke	marke	vvi	mark	mark	0
that	that	d	that	that	0
25	25	crd	25	25	0
leagues	leagues	n2	leagues	league	0
a	a	dt	a	a	0
seaboord	seaboord	n1	seaboord	seaboord	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
there	there	pc-acp	there	there	0
lie	lie	vvi	lie	lie	0
certaine	certaine	j	certain	certain	0
sands	sands	n2	sands	sand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
be	be	vbb	be	be	0
called	called	vvn	called	call	0
Baixos	Baixos	np1	Baixos	Baixos	0
de	de	fw-fr	de	de	0
los	los	fw-la	los	los	0
Castellanos	Castellanos	np1	Castellanos	Castellanos	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
that	that	cst	that	that	0
falleth	falleth	vvz	falls	fall	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Maria	Maria	np1	Maria	Maria	0
must	must	vmb	must	must	0
take	take	vvi	take	take	0
good	good	j	good	good	0
heede	heede	n1	heed	heed	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
Southeast	Southeast	n1	Southeast	southeast	0
untill	untill	c-acp	until	until	0
hee	hee	pns31	he	he	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
36	36	crd	36	36	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
Southsoutheast	Southsoutheast	n1	Southsoutheast	southsoutheast	0
untill	untill	c-acp	until	until	0
36	36	crd	36	36	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
a	a	dt	a	a	0
halfe	halfe	n-jn	half	half	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
sholds	sholds	n2	sholds	shold	0
de	de	fw-la	de	de	0
los	los	fw-la	los	los	0
Castellanos	Castellanos	np1	Castellanos	Castellanos	0
a	a	dt	a	a	0
breadth	breadth	n1	breadth	breadth	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
taking	taking	vvg	taking	take	0
heede	heede	n1	heed	heed	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
flats	flats	n2	flats	flat	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cape	cape	n1	cape	cape	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
hee	hee	pns31	he	he	0
findeth	findeth	vvz	finds	find	0
40	40	crd	40	40	0
or	or	cc	or	or	0
45	45	crd	45	45	0
fadomes	fadomes	n2	fathoms	fathom	0
,	,	,	,	,	0
and	and	cc	and	and	0
russet	russet	j-jn	russet	russet	0
sand	sand	n1	sand	sand	0
,	,	,	,	,	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
must	must	vmb	must	must	0
goe	goe	vvi	go	go	0
Southwest	Southwest	n1	Southwest	southwest	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
South	South	n1	South	south	0
,	,	,	,	,	0
