A	A	dt	A	a	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
advise	advise	n1	advice	advice	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
for	for	p-acp	for	for	0
Cola	Cola	np1	Cola	Cola	0
abovesaid	abovesaid	j	abovesaid	abovesaid	0
.	.	.	.	.	1
1578.	1578.	crd	1578.	1578.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
WHereas	WHereas	cs	WHereas	whereas	0
you	you	pn22	you	you	0
require	require	vvb	require	require	0
my	my	po11	my	my	0
counsell	counsell	n1	counsel	counsel	0
after	after	p-acp	after	after	0
what	what	r-crq	what	what	0
order	order	n1	order	order	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
for	for	p-acp	for	for	0
Cola	Cola	np1	Cola	Cola	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
answere	answere	vvb	answer	answer	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
no	no	dx	no	no	0
better	better	jc	better	better	0
way	way	n1	way	way	0
then	then	av	then	then	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
heretofore	heretofore	av	heretofore	heretofore	0
used	used	vvn	used	use	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
after	after	p-acp	after	after	0
this	this	d	this	this	0
maner	maner	n1	manner	manner	0
.	.	.	.	.	1
First	First	ord	First	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
hired	hired	vvn	hired	hire	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
great	great	j	great	great	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
so	so	av	so	so	0
much	much	av-d	much	much	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
