The	The	dt	The	the	0
Spanish	Spanish	jp	Spanish	spanish	0
kings	kings	ng1	kings	king	0
commission	commission	n1	commission	commission	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
general	general	n1	general	general	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
114.	114.	crd	114.	114.	0
]	]	]	]	]	0
imbargment	imbargment	n1	imbargment	imbargment	0
or	or	cc	or	or	0
arrest	arrest	n1	arrest	arrest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
LIcentiat	LIcentiat	j	Licentiate	licentiate	0
de	de	fw-fr	de	de	0
Escober	Escober	np1	Escober	Escober	0
,	,	,	,	,	0
my	my	po11	my	my	0
Corigidor	Corigidor	n1	Corigidor	corregidor	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Signorie	Signorie	n1	Signory	signory	0
of	of	pp-f	of	of	0
Biskay	Biskay	np1	Biskay	Biskay	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
a	a	dt	a	a	0
great	great	j	great	great	0
fleete	fleete	n1	fleet	fleet	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
readinesse	readinesse	n1	readiness	readiness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Lisbone	Lisbone	np1	Lisbone	Lisbon	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Sivill	Sivill	np1	Sivill	Seville	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
required	required	vvn	required	require	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Souldiers	Souldiers	n2	Soldiers	soldier	0
,	,	,	,	,	0
armour	armour	n1	armour	armour	0
,	,	,	,	,	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
and	and	cc	and	and	0
munition	munition	n1	munition	munition	0
,	,	,	,	,	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
imployed	imployed	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
great	great	j	great	great	0
