169	169	crd	169	169	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
170	170	crd	170	170	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
171	171	crd	171	171	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
172	172	crd	172	172	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
173	173	crd	173	173	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
175	175	crd	175	175	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Suelasdevaca	Suelasdevaca	np1	Suelasdevaca	Suelasdevaca	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ix	ix	crd	ix	ix	0
177	177	crd	177	177	0
M	M	sy	M	m	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Quires	Quires	n2	Quires	quire	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
179	179	crd	179	179	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
180	180	crd	180	180	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
7	7	crd	7	7	0
,	,	,	,	,	0
uni	uni	fw-la	uni	uni	0
.	.	.	.	.	0
,	,	,	,	,	1
o	o	sy	oh	o	0
Cibola	Cibola	np1	Cibola	Cibola	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
185	185	crd	185	185	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
notable	notable	j	notable	notable	0
voyages	voyages	n2	voyages	voyage	0
,	,	,	,	,	0
the	the	dt	the	the	0
first	first	ord	first	first	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
frier	frier	n1	friar	friar	0
Augustin	Augustin	np1	Augustin	Augustin	0
Ruyz	Ruyz	np1	Ruyz	Ruyz	0
a	a	dt	a	a	0
Franciscan	Franciscan	jp	Franciscan	franciscan	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1581	1581	crd	1581	1581	0
:	:	:	:	:	0
the	the	dt	the	the	0
second	second	ord	second	second	0
by	by	p-acp	by	by	0
Antonio	Antonio	np1	Antonio	Antonio	0
de	de	fw-fr	de	de	0
