372	372	crd	372	372	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
374	374	crd	374	374	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
375	375	crd	375	375	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
376	376	crd	376	376	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
377	377	crd	377	377	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
378	378	crd	378	378	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
380	380	crd	380	380	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1330	1330	crd	1330	1330	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
iv	iv	crd	iv	iv	0
385	385	crd	385	385	0
2	2	crd	2	2	0
B	B	sy	B	b	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Java	Java	np1	Java	Java	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
386	386	crd	386	386	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
387	387	crd	387	387	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
389	389	crd	389	389	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
390	390	crd	390	390	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
391	391	crd	391	391	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
393	393	crd	393	393	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
395	395	crd	395	395	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Pythagorica	Pythagorica	np1	Pythagorica	Pythagorica	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Chilenso	Chilenso	np1	Chilenso	Chilenso	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thalay	Thalay	np1	Thalay	Thalay	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Kakam	Kakam	np1	Kakam	Kakam	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Caramoran	Caramoran	np1	Caramoran	Caramoran	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cambalec	Cambalec	np1	Cambalec	Cambalec	0
