[	[	[	[	[	0
in	in	p-acp	in	in	0
.	.	.	.	.	1
698.	698.	crd	698.	698.	0
]	]	]	]	]	1
CERTAINE	CERTAINE	j	CERTAIN	certain	0
BRIEFE	BRIEFE	j	BRIEF	brief	0
TESTIMONIES	TESTIMONIES	n2	TESTIMONIES	testimony	0
Concerning	Concerning	vvg	Concerning	concern	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
River	River	n1	River	river	0
of	of	pp-f	of	of	0
Amazones	Amazones	np1	Amazones	Amazones	0
or	or	cc	or	or	0
Orellana	Orellana	np1	Orellana	Orellana	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
wonderfull	wonderfull	j	wonderful	wonderful	0
downefall	downefall	n1	downfall	downfall	0
or	or	cc	or	or	0
cataract	cataract	n1	cataract	cataract	0
of	of	pp-f	of	of	0
waters	waters	n2	waters	water	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
head	head	n1	head	head	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
named	named	vvn	nam	name	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
El	El	fw-es	El	el	0
Pongo	Pongo	np1	Pongo	Pongo	0
:	:	:	:	:	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
mention	mention	n1	mention	mention	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
stately	stately	j	stately	stately	0
empire	empire	n1	empire	empire	0
of	of	pp-f	of	of	0
Dorado	Dorado	np1	Dorado	Dorado	0
,	,	,	,	,	0
called	called	vvn	called	call	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Walter	Walter	np1	Walter	Walter	0
Ralegh	Ralegh	np1	Ralegh	Ralegh	0
and	and	cc	and	and	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
Guiana	Guiana	np1	Guiana	Guiana	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
golden	golden	j	golden	golden	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Paytity	Paytity	n1	Paytity	paytity	0
neere	neere	av-j	near	near	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
memorable	memorable	j	memorable	memorable	0
matters	matters	n2	matters	matter	0
:	:	:	:	:	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Josephus	Josephus	np1	Josephus	Josephus	0
de	de	fw-fr	de	de	0
Acosta	Acosta	np1	Acosta	Acosta	0
his	his	po31	his	his	0
naturali	naturali	fw-la	naturali	naturali	0
and	and	cc	and	and	0
morall	morall	j	moral	moral	0
historic	historic	n1	historic	history	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np2	Indies	Indies	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
Testimonie	Testimonie	n1	Testimony	testimony	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Josephus	Josephus	np1	Josephus	Josephus	0
de	de	fw-fr	de	de	0
Acosta	Acosta	np1	Acosta	Acosta	0
,	,	,	,	,	0
lib	lib	n1	lib	lib	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
cap	cap	n1	cap	cap	0
.	.	.	.	.	1
6.	6.	crd	6.	6.	1
Ut	Ut	fw-it	Ut	ut	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
intreat	intreat	vvb	entreat	entreat	0
of	of	pp-f	of	of	0
Rivers	Rivers	n2	Rivers	river	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
some	some	d	some	some	0
men	men	n2	men	man	0
call	call	vvb	call	call	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Amazones	Amazones	np1	Amazones	Amazones	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
Marannon	Marannon	np1	Marannon	Marannon	0
,	,	,	,	,	0
others	others	ng2-jn	others	other	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Orellana	Orellana	np1	Orellana	Orellana	0
,	,	,	,	,	0
doeth	doeth	vdz	doth	do	0
justly	justly	av-j	justly	just	0
put	put	vvi	put	put	0
to	to	pc-acp	to	to	0
silence	silence	vvi	silence	silence	0
all	all	d	all	all	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
,	,	,	,	,	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
our	our	po12	our	our	0
Spaniards	Spaniards	np1	Spaniards	Spaniards	0
have	have	vhi	have	have	0
gone	gone	vvn	gone	go	0
and	and	cc	and	and	0
sayled	sayled	vvn	sailed	sail	0
.	.	.	.	.	1
And	And	cc	And	and	0
I	I	pns11	I	i	0
stand	stand	vvb	stand	stand	0
in	in	p-acp	in	in	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
cal	cal	vvi	call	call	0
it	it	pn31	it	it	0
a	a	dt	a	a	0
