Certaine	Certaine	j	Certain	certain	0
reports	reports	n2	reports	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
learned	learned	vvd	learned	learn	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
there	there	a-acp	there	there	0
imprisoned	imprisoned	vvn	imprisoned	imprison	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefly	chiefly	av-jn	chiefly	chief	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
Galeotto	Galeotto	np1	Galeotto	Galeotto	0
Perera	Perera	np1	Perera	Perera	0
,	,	,	,	,	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
that	that	cst	that	that	0
lay	lay	vvd	lay	lie	0
prisoner	prisoner	n1	prisoner	prisoner	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
Countrey	Countrey	n1	Country	country	0
many	many	d	many	many	0
yeeres	yeeres	n2	years	year	0
.	.	.	.	.	1
Done	Done	np1	Done	Done	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Italian	Italian	jp	Italian	italian	0
into	into	p-acp	into	into	0
English	English	jp	English	english	0
by	by	p-acp	by	by	0
Richard	Richard	np1	Richard	Richard	0
Willes	Willes	n2	Wills	will	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
His	His	png31	His	he	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
is	is	vbz	is	be	0
parted	parted	vvn	parted	part	0
into	into	p-acp	into	into	0
13.	13.	crd	13.	13.	1
Shires	Shires	n2	Shires	shire	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
sometimes	sometimes	av	sometime	sometime	0
were	were	vbdr	were	be	0
ech	ech	d	each	each	0
one	one	crd	one	one	0
a	a	dt	a	a	0
kingdome	kingdome	n1	kingdom	kingdom	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
these	these	d	these	these	0
many	many	d	many	many	0
yeeres	yeeres	n2	years	year	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
all	all	d	all	all	0
subject	subject	n-jn	subject	subject	0
unto	unto	p-acp	unto	unto	0
one	one	crd	one	one	0
King	King	n1	King	king	0
.	.	.	.	.	1
Fuquien	Fuquien	vvn	Fuquien	fuquien	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Fuquien	Fuquien	vvn	Fuquien	fuquien	0
.	.	.	.	.	1
Portugals	Portugals	npg1	Portugals	Portugal	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Shire	Shire	n1	Shire	shire	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
there	there	a-acp	there	there	0
their	their	po32	their	their	0
troubles	troubles	n2	troubles	trouble	0
began	began	vvd	began	begin	0
,	,	,	,	,	0
&	&	cc	&	and	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
occasion	occasion	n1	occasion	occasion	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
thereby	thereby	av	thereby	thereby	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
shire	shire	n1	shire	shire	0
be	be	vbi	be	be	0
8.	8.	crd	8.	8.	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
one	one	pi	one	one	0
principally	principally	av-j	principally	principal	0
more	more	av-dc	more	more	0
famous	famous	j	famous	famous	0
then	then	cs	then	than	0
others	others	n2-jn	others	other	0
called	called	vvn	called	call	0
Fuquieo	Fuquieo	np1	Fuquieo	Fuquieo	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
seven	seven	crd	seven	seven	0
are	are	vbr	are	be	0
reasonably	reasonably	av-j	reasonably	reasonable	0
great	great	j	great	great	0
,	,	,	,	,	0
the	the	dt	the	the	0
best	best	js	best	best	0
knowen	knowen	vvn	known	know	0
whereof	whereof	c-crq	whereof	whereof	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
is	is	vbz	is	be	0
Cinceo	Cinceo	np1	Cinceo	Cinceo	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Cinceo	Cinceo	np1	Cinceo	Cinceo	0
.	.	.	.	.	0
certaine	certaine	j	certain	certain	0
haven	haven	n1	haven	haven	0
joyning	joyning	vvg	joining	join	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
whither	whither	c-crq	whither	whither	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
past	past	p-acp	passed	past	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
wont	wont	vvn	wont	wont	0
for	for	p-acp	for	for	0
marchandise	marchandise	n1	merchandise	merchandise	0
to	to	pc-acp	to	to	0
resort	resort	vvi	resort	resort	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Cantan	Cantan	uh	Cantan	cantan	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
second	second	ord	second	second	0
shire	shire	n1	shire	shire	0
,	,	,	,	,	0
not	not	xx	not	not	0
so	so	av	so	so	0
great	great	j	great	great	0
in	in	p-acp	in	in	0
quantitie	quantitie	n1	quantity	quantity	0
,	,	,	,	,	0
Cantan	Cantan	uh	Cantan	cantan	0
.	.	.	.	.	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
accompted	accompted	vvn	accounted	account	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
king	king	n1	king	king	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
lieth	lieth	vvz	lies	lie	0
neerer	neerer	jc	nearer	near	0
unto	unto	p-acp	unto	unto	0
Malacca	Malacca	np1	Malacca	Malacca	0
then	then	av	then	then	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
and	and	cc	and	and	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
discried	discried	vvn	descried	descry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
before	before	p-acp	before	before	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
shire	shire	n1	shire	shire	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
province	province	n1	province	province	0
:	:	:	:	:	0
this	this	d	this	this	0
shire	shire	n1	shire	shire	0
hath	hath	vhz	hath	have	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
seven	seven	crd	seven	seven	0
Cities	Cities	n2	Cities	city	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Chequeam	Chequeam	n1	Chequeam	chequeam	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
third	third	ord	third	three	0
shire	shire	n1	shire	shire	0
,	,	,	,	,	0
the	the	dt	the	the	0
chiefest	chiefest	js-jn	chiefest	chief	0
Citie	Citie	n1	City	city	0
therein	therein	av	therein	therein	0
Chequeam	Chequeam	n1	Chequeam	chequeam	0
.	.	.	.	.	0
is	is	vbz	is	be	0
Donchion	Donchion	n1	Donchion	donchion	0
,	,	,	,	,	0
therein	therein	av	therein	therein	0
also	also	av	also	also	0
standeth	standeth	vvz	stands	stand	0
Liampo	Liampo	np1	Liampo	Liampo	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
13.	13.	crd	13.	13.	0
or	or	cc	or	or	0
14.	14.	crd	14.	14.	0
boroughes	boroughes	n2	boroughs	borough	0
:	:	:	:	:	0
countrey	countrey	n1	country	country	0
townes	townes	n2	towns	town	0
therin	therin	av	therein	therein	0
are	are	vbr	are	be	0
too	too	av	too	too	0
too	too	av	too	too	0
many	many	d	many	many	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
fourth	fourth	ord	fourth	four	0
shire	shire	n1	shire	shire	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Xutiamfu	Xutiamfu	np1	Xutiamfu	Xutiamfu	0
,	,	,	,	,	0
the	the	dt	the	the	0
principali	principali	fw-la	principali	principali	0
Xutiamfu	Xutiamfu	np1	Xutiamfu	Xutiamfu	0
.	.	.	.	.	1
Citie	Citie	n1	City	city	0
thereof	thereof	av	thereof	thereof	0
is	is	vbz	is	be	0
great	great	j	great	great	0
Pachin	Pachin	np1	Pachin	Pachin	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
King	King	n1	King	king	0
is	is	vbz	is	be	0
alwayes	alwayes	av	always	always	0
resident	resident	j-jn	resident	resident	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
it	it	pn31	it	it	0
are	are	vbr	are	be	0
fifteene	fifteene	crd	fifteene	fifteen	0
other	other	j-jn	other	other	0
very	very	j	very	very	0
great	great	j	great	great	0
Cities	Cities	n2	Cities	city	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
townes	townes	n2	towns	town	0
therein	therein	av	therein	therein	0
,	,	,	,	,	0
and	and	cc	and	and	0
boroughes	boroughes	n2	boroughs	borough	0
well	well	av	well	well	0
walled	walled	vvn	walled	wall	0
and	and	cc	and	and	0
trenched	trenched	vvn	trenched	trench	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
I	I	pns11	I	i	0
wil	wil	vmb	will	will	0
say	say	vvi	say	say	0
nothing	nothing	pix	nothing	nothing	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
fift	fift	ord	fift	five	0
shire	shire	n1	shire	shire	0
hath	hath	vhz	hath	have	0
name	name	n1	name	name	0
Chelim	Chelim	np1	Chelim	Chelim	0
:	:	:	:	:	0
the	the	dt	the	the	0
great	great	j	great	great	0
Citie	Citie	n1	City	city	0
Chelim	Chelim	np1	Chelim	Chelim	0
.	.	.	.	.	1
Nanquin	Nanquin	np1	Nanquin	Nanquin	0
chiefe	chiefe	j-jn	chief	chief	0
of	of	pp-f	of	of	0
other	other	n-jn	other	other	0
fifteene	fifteene	crd	fifteene	fifteen	0
