An	An	dt	And	a	0
excellent	excellent	j	excellent	excellent	0
treatise	treatise	n1	treatise	treatise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
and	and	cc	and	and	0
government	government	n1	government	government	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
Printed	Printed	vvn	Printed	print	0
in	in	p-acp	in	in	0
Latine	Latine	jp	Latin	latin	0
at	at	p-acp	at	at	0
Macao	Macao	np1	Macao	Macao	0
a	a	dt	a	a	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
in	in	p-acp	in	in	0
China	China	np1	China	China	0
,	,	,	,	,	0
An.	An.	np1	An.	An.	0
Dom.	Dom.	np1	Dom.	Dom.	1
1590.	1590.	crd	1590.	1590.	0
and	and	cc	and	and	0
written	written	vvn	written	write	0
Dialogue-wise	Dialogue-wise	av	Dialogue-wise	dialogue-wise	0
.	.	.	.	.	1
The	The	dt	The	the	0
speakers	speakers	n2	speakers	speaker	0
are	are	vbr	are	be	0
Linus	Linus	np1	Linus	Linus	0
,	,	,	,	,	0
Leo	Leo	np1	Leo	Leo	0
,	,	,	,	,	0
and	and	cc	and	and	0
Michael	Michael	np1	Michael	Michael	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Linus	Linus	np1	Linus	Linus	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Oncerning	Oncerning	vvg	Oncerning	oncern	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
China	China	np1	China	China	0
(	(	(	(	(	0
Michael	Michael	np1	Michael	Michael	0
)	)	)	)	)	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
next	next	ord	next	next	0
neighbour	neighbour	n1	neighbour	neighbour	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
heard	heard	vvn	herd	hear	0
and	and	cc	and	and	0
daily	daily	av-j	daily	daily	0
do	do	vdb	do	do	0
heare	heare	vvi	hear	hear	0
so	so	av	so	so	0
many	many	d	many	many	0
reports	reports	n2	reports	report	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
request	request	vvi	request	request	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
rather	rather	av	rather	rather	0
a	a	dt	a	a	0
true	true	j	true	true	0
then	then	cs	then	than	0
a	a	dt	a	a	0
large	large	j	large	large	0
discourse	discourse	n1	discourse	discourse	0
and	and	cc	and	and	0
narration	narration	n1	narration	narration	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
ought	ought	pi	ought	aught	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
knowledge	knowledge	n1	knowledge	knowledge	0
besides	besides	p-acp	beside	beside	0
that	that	cst	that	that	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
continual	continual	j	continual	continual	0
rumours	rumours	n2	rumours	rumour	0
is	is	vbz	is	be	0
waxen	waxen	vvn	waxed	wax	0
stale	stale	j	stale	stale	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
right	right	vvi	right	right	0
gladly	gladly	av-j	gladly	glad	0
give	give	vvi	give	give	0
diligent	diligent	j	diligent	diligent	0
eare	eare	n1	ear	ear	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Michael	Michael	np1	Michael	Michael	0
.	.	.	.	.	1
Because	Because	p-acp	Because	because	0
the	the	dt	the	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
most	most	av-ds	most	most	0
famous	famous	j	famous	famous	0
kingdome	kingdome	n1	kingdom	kingdom	0
is	is	vbz	is	be	0
growen	growen	vvn	grown	grow	0
so	so	av	so	so	0
common	common	j	common	common	0
among	among	p-acp	among	among	0
us	us	pno12	us	we	0
,	,	,	,	,	0
reducing	reducing	vvg	reducing	reduce	0
divers	divers	j	diverse	diverse	0
and	and	cc	and	and	0
manifold	manifold	j	manifold	manifold	0
particulars	particulars	n2-j	particulars	particular	0
into	into	p-acp	into	into	0
order	order	n1	order	order	0
