The	The	dt	The	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
John	John	np1	John	John	0
Huighen	Huighen	np1	Huighen	Huighen	0
van	van	fw-mi	van	van	0
Linschoten	Linschoten	np1	Linschoten	Linschoten	0
concerning	concerning	vvg	concerning	concern	0
M.	M.	n1	M.	m.	0
Newberies	Newberies	n2	Newberries	newberry	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Fitches	Fitches	vvz	Fitches	fitch	0
imprisonment	imprisonment	n1	imprisonment	imprisonment	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
escape	escape	n1	escape	escape	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
happened	happened	vvd	happened	happen	0
while	while	cs	while	while	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
Goa	Goa	zz	Goa	goa	0
.	.	.	.	.	1
N	N	sy	N	n	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
December	December	np1	December	December	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1583	1583	crd	1583	1583	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
arrived	arrived	vvd	arrived	arrive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
and	and	cc	and	and	0
Iland	Iland	n1	Island	island	0
of	of	pp-f	of	of	0
Ormus	Ormus	fw-la	Ormus	ormus	0
foure	foure	crd	foure	four	0
English	English	jp	English	english	0
men	men	n2	men	man	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
having	having	vhg	having	have	0
sailed	sailed	vvn	sailed	sail	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
passed	passed	vvd	passed	pass	0
thorow	thorow	p-acp	thorough	through	0
the	the	dt	the	the	0
straights	straights	n2	straights	straight	0
of	of	pp-f	of	of	0
Gibraltar	Gibraltar	np1	Gibraltar	Gibraltar	0
to	to	p-acp	to	to	0
Tripoli	Tripoli	np1	Tripoli	Tripoli	0
a	a	dt	a	a	0
towne	towne	n1	town	town	0
and	and	cc	and	and	0
haven	haven	n1	haven	haven	0
lying	lying	vvg	lying	lie	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
all	all	d	all	all	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
discharge	discharge	vvb	discharge	discharge	0
their	their	po32	their	their	0
wares	wares	n2	wares	ware	0
&	&	cc	&	and	0
marchandises	marchandises	n2	merchandises	merchandise	0
,	,	,	,	,	0
&	&	cc	&	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
are	are	vbr	are	be	0
caried	caried	vvn	carried	carry	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
unto	unto	p-acp	unto	unto	0
505	505	crd	505	505	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
nine	nine	crd	nine	nine	0
dayes	dayes	ng2	days	day	0
journy	journy	n1	journey	journey	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
resident	resident	j-jn	resident	resident	0
divers	divers	j	diverse	diverse	0
marchants	marchants	n2	merchants	merchant	0
&	&	cc	&	and	0
factours	factours	n2	factors	factor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Italians	Italians	njp2	Italians	italian	0
,	,	,	,	,	0
French	French	jp	French	french	0
men	men	n2	men	man	0
,	,	,	,	,	0
English	English	jp	English	english	0
men	men	n2	men	man	0
,	,	,	,	,	0
Armenians	Armenians	njp2	Armenians	armenian	0
,	,	,	,	,	0
Turks	Turks	np1	Turks	Turks	0
and	and	cc	and	and	0
Moores	Moores	n2	Moors	moor	0
,	,	,	,	,	0
every	every	d	every	every	0
man	man	n1	man	man	0
having	having	vhg	having	have	0
his	his	po31	his	his	0
religion	religion	n1	religion	religion	0
apart	apart	av	apart	apart	0
,	,	,	,	,	0
paying	paying	vvg	paying	pay	0
tribute	tribute	n1	tribute	tribute	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
that	that	d	that	that	0
towne	towne	n1	town	town	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
great	great	j	great	great	0
traffique	traffique	n1	traffic	traffic	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
every	every	d	every	every	0
yeere	yeere	n1	year	year	0
twise	twise	av	twice	twice	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
travell	travell	vvi	travel	travel	0
two	two	crd	two	two	0
Caffyls	Caffyls	n2	Caffyls	caffyl	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
companies	companies	n2	companies	company	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
and	and	cc	and	and	0
camels	camels	n2	camels	camel	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
travell	travell	n1	travel	travel	0
unto	unto	p-acp	unto	unto	0
India	India	np1	India	India	0
,	,	,	,	,	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
Arabia	Arabia	np1	Arabia	Arabia	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
the	the	dt	the	the	0
countreys	countreys	ng2	countries'	country	0
bordering	bordering	vvg	bordering	border	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
and	and	cc	and	and	0
deale	deale	vvi	deal	deal	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
