The	The	dt	The	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
honest	honest	j	honest	honest	0
merchant	merchant	n1	merchant	merchant	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
friend	friend	n1	friend	friend	0
of	of	pp-f	of	of	0
his	his	png31	his	he	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
advised	advised	vvn	advised	advise	0
and	and	cc	and	and	0
directed	directed	vvn	directed	direct	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
killing	killing	vvg	killing	kill	0
the	the	dt	the	the	0
Whale	Whale	n1	Whale	whale	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
An.	An.	np1	An.	An.	0
1575.	1575.	crd	1575.	1575.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
pleasure	pleasure	vvi	pleasure	pleasure	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
getting	getting	vvg	getting	get	0
me	me	pno11	me	i	0
perfect	perfect	j	perfect	perfect	0
information	information	n1	information	information	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
hereunder	hereunder	av	hereunder	hereunder	0
specified	specified	vvn	specified	specify	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
FOr	FOr	p-acp	FOr	for	0
the	the	dt	the	the	0
provision	provision	n1	provision	provision	0
and	and	cc	and	and	0
furniture	furniture	n1	furniture	furniture	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
of	of	pp-f	of	of	0
200	200	crd	200	200	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
catch	catch	vvi	catch	catch	0
the	the	dt	the	the	0
Whale	Whale	n1	Whale	whale	0
fish	fish	n1	fish	fish	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
passing	passing	vvg	passing	pass	0
from	from	p-acp	from	from	0
England	England	np1	England	England	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
many	many	d	many	many	0
men	men	n2	men	man	0
to	to	pc-acp	to	to	0
furnish	furnish	vvi	furnish	furnish	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
How	How	uh-crq	How	how	0
many	many	d	many	many	0
fishermen	fishermen	n2	fishermen	fisherman	0
skilful	skilful	j	skilful	skilful	0
to	to	pc-acp	to	to	0
catch	catch	vvi	catch	catch	0
the	the	dt	the	the	0
Whale	Whale	n1	Whale	whale	0
,	,	,	,	,	0
&	&	cc	&	and	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
officers	officers	n2	officers	officer	0
and	and	cc	and	and	0
Coopers	Coopers	npg1	Coopers	Cooper	0
