A	A	dt	A	a	0
third	third	ord	third	three	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
English	English	jp	English	english	0
Marchants	Marchants	n2	Merchants	merchant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
345	345	crd	345	345	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
346	346	crd	346	346	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
TO	TO	p-acp	TO	to	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
king	king	n1	king	king	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
Edward	Edward	np1	Edward	Edward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Aquitaine	Aquitaine	np1	Aquitaine	Aquitaine	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
love	love	n1	love	love	0
.	.	.	.	.	1
We	We	pns12	We	we	0
sent	sent	vvd	sent	send	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
royall	royall	j	royal	royal	0
majestie	majestie	n1	majesty	majesty	0
our	our	po12	our	our	0
special	special	j	special	special	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
late	late	j	late	late	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
Lenne	Lenne	j	Lenne	lenne	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
(	(	(	(	(	0
whome	whome	r-crq	whom	who	0
your	your	po22	your	your	0
baily	baily	n1	baily	baily	0
and	and	cc	and	and	0
officers	officers	n2	officers	officer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Bergen	Bergen	np1	Bergen	Bergen	0
lately	lately	av-j	lately	late	0
apprehended	apprehended	vvn	apprehended	apprehend	0
,	,	,	,	,	0
committing	committing	vvg	committing	commit	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
close	close	vvi	close	close	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
many	many	d	many	many	0
of	of	pp-f	of	of	0
whome	whome	r-crq	whom	who	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
,	,	,	,	,	0
are	are	vbr	are	be	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
due	due	j-jn	due	due	0
nourishment	nourishment	n1	nourishment	nourishment	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
extremitie	extremitie	n1	extremity	extremity	0
&	&	cc	&	and	0
loath-somnesse	loath-somnesse	j	loathsomeness	loathsomeness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
prison	prison	n1	prison	prison	0
,	,	,	,	,	0
quite	quite	av	quite	quite	0
perished	perished	vvn	perished	perish	0
)	)	)	)	)	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
cause	cause	vvi	cause	cause	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
released	released	vvn	released	release	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
,	,	,	,	,	0
you	you	pn22	you	you	0
reteining	reteining	vvg	retaining	retain	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
our	our	po12	our	our	0
marchants	marchants	n2	merchants	merchant	0
in	in	p-acp	in	in	0
durance	durance	n1	durance	durance	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
diligently	diligently	av-j	diligently	diligent	0
heard	heard	vvn	herd	hear	0
,	,	,	,	,	0
and	and	cc	and	and	0
throughly	throughly	av-j	thoroughly	thorough	0
understood	understood	vvd	understood	understand	0
,	,	,	,	,	0
have	have	vhb	have	have	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
returned	returned	vvd	returned	return	0
this	this	d	this	this	0
answere	answere	n1	answer	answer	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
:	:	:	:	:	0
that	that	d	that	that	0
certaine	certaine	j	certain	certain	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
kingdome	kingdome	n1	kingdom	kingdom	0
doe	doe	vdb	do	do	0
make	make	vvi	make	make	0
sundrie	sundrie	j	sundry	sundry	0
complaints	complaints	n2	complaints	complaint	0
of	of	pp-f	of	of	0
injuries	injuries	n2	injuries	injury	0
,	,	,	,	,	0
violences	violences	n2	violences	violence	0
and	and	cc	and	and	0
arrests	arrests	n2	arrests	arrest	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
lately	lately	av-j	lately	late	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
themselves	themselves	px32	themselves	themselves	0
avouch	avouch	vvi	avouch	avouch	0
)	)	)	)	)	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
justice	justice	n1	justice	justice	0
bene	bene	vbn	be	be	0
aggrieved	aggrieved	vvn	aggrieved	aggrieve	0
and	and	cc	and	and	0
oppressed	oppressed	vvn	oppressed	oppress	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
:	:	:	:	:	0
adding	adding	vvg	adding	add	0
moreover	moreover	av	moreover	moreover	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
sayde	sayde	j-vvn	said	say	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
that	that	cst	that	that	0
certaine	certaine	j	certain	certain	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
iniquitie	iniquitie	n1	iniquity	iniquity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Lenne	Lenne	j	Lenne	lenne	0
,	,	,	,	,	0
comming	comming	vvg	coming	come	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
saide	saide	vvd	said	say	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
fish	fish	vvi	fish	fish	0
for	for	p-acp	for	for	0
herrings	herrings	n2	herrings	herring	0
,	,	,	,	,	0
cruelly	cruelly	av-j	cruelly	cruel	0
murthered	murthered	vvn	murdered	murder	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
times	times	n2	times	time	0
past	past	p-acp	passed	past	0
your	your	po22	your	your	0
bayliffe	bayliffe	n1	bailiff	bailiff	0
