[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
245.	245.	crd	245.	245.	0
]	]	]	]	]	1
Letters	Letters	np1	Letters	Letters	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Newbery	Newbery	np1	Newbery	Newberry	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Ralph	Ralph	np1	Ralph	Ralph	0
Fitch	Fitch	np1	Fitch	Fitch	0
,	,	,	,	,	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Levant	Levant	np1	Levant	Levant	0
Sea	Sea	n1	Sea	sea	0
to	to	p-acp	to	to	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
and	and	cc	and	and	0
overland	overland	av	overland	overland	0
to	to	p-acp	to	to	0
Balsara	Balsara	np1	Balsara	Balsara	0
,	,	,	,	,	0
and	and	cc	and	and	0
thence	thence	av	thence	thence	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
East	East	n1	East	east	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
and	and	cc	and	and	0
beyond	beyond	p-acp	beyond	beyond	0
,	,	,	,	,	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1583.	1583.	crd	1583.	1583.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
written	written	vvn	written	write	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Zelabdim	Zelabdim	np1	Zelabdim	Zelabdim	0
Echebar	Echebar	vvi	Echebar	echebar	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cambaia	Cambaia	np1	Cambaia	Cambaia	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
by	by	p-acp	by	by	0
John	John	np1	John	John	0
Newbery	Newbery	np1	Newbery	Newberry	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
February	February	np1	February	February	0
Anno	Anno	fw-la	Anno	anno	0
1583.	1583.	crd	1583.	1583.	1
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
invincible	invincible	j	invincible	invincible	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
mightie	mightie	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
Zelabdim	Zelabdim	np1	Zelabdim	Zelabdim	0
Echebar	Echebar	vvi	Echebar	echebar	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Cambaya	Cambaya	np1	Cambaya	Cambaya	0
.	.	.	.	.	1
Invincible	Invincible	j	Invincible	invincible	0
Emperor	Emperor	n1	Emperor	emperor	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
The	The	dt	The	the	0
great	great	j	great	great	0
affection	affection	n1	affection	affection	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
have	have	vhi	have	have	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
visit	visit	vvi	visit	visit	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
distant	distant	j	distant	distant	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
good	good	j	good	good	0
will	will	n1	will	will	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
-	-	-	-	-	0
tention	tention	n1	tention	tention	0
to	to	pc-acp	to	to	0
introduce	introduce	vvi	introduce	introduce	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
marchandize	marchandize	n1	merchandise	merchandise	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
nations	nations	n2	nations	nation	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
meanes	meanes	vvz	means	mean	0
the	the	dt	the	the	0
mutual	mutual	j	mutual	mutual	0
and	and	cc	and	and	0
friendly	friendly	j	friendly	friendly	0
trafique	trafique	vvi	traffic	traffic	0
of	of	pp-f	of	of	0
marchandize	marchandize	n1	merchandise	merchandise	0
on	on	p-acp	on	on	0
both	both	d	both	both	0
sides	sides	n2	sides	side	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
that	that	cst	that	that	0
the	the	dt	the	the	0
bearer	bearer	n1	bearer	bearer	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
letter	letter	n1	letter	letter	0
John	John	np1	John	John	0
Newbery	Newbery	np1	Newbery	Newberry	0
,	,	,	,	,	0
joyntly	joyntly	av-j	jointly	joint	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
company	company	n1	company	company	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
curteous	curteous	j	courteous	courteous	0
and	and	cc	and	and	0
honest	honest	j	honest	honest	0
boldnesse	boldnesse	n1	boldness	boldness	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
repaire	repaire	vvi	repair	repair	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
borders	borders	n2	borders	border	0
and	and	cc	and	and	0
countreys	countreys	ng2	countries'	country	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Empire	Empire	n1	Empire	empire	0
,	,	,	,	,	0
we	we	pns12	we	we	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
that	that	d	that	that	0
your	your	po22	your	your	0
imperial	imperial	j-jn	imperial	imperial	0
Majestie	Majestie	n1	Majesty	majesty	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
royal	royal	j	royal	royal	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
will	will	vmb	will	will	0
favourably	favourably	av-j	favourably	favourable	0
and	and	cc	and	and	0
friendly	friendly	av-j	friendly	friendly	0
accept	accept	vvi	accept	accept	0
him	him	pno31	him	he	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
doe	doe	vdi	do	do	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
sake	sake	n1	sake	sake	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
us	us	pno12	us	we	0
greatly	greatly	av-j	greatly	great	0
beholding	beholding	vvg	beholding	behold	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
;	;	;	;	;	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
more	more	av-dc	more	more	0
earnestly	earnestly	av-j	earnestly	earnest	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
wordes	wordes	n2	words	word	0
require	require	vvb	require	require	0
it	it	pn31	it	it	0
,	,	,	,	,	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
did	did	vdd	did	do	0
think	think	vvi	think	think	0
it	it	pn31	it	it	0
needful	needful	j	needful	needful	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
singular	singular	j	singular	singular	0
report	report	n1	report	report	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
imperial	imperial	j-jn	imperial	imperial	0
Majesties	Majesties	ng1	Majesties	majesty	0
humanitie	humanitie	n1	humanity	humanity	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
uttermost	uttermost	j	uttermost	uttermost	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
greatly	greatly	av-j	greatly	great	0
eased	eased	vvn	eased	ease	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
burden	burden	n1	burden	burden	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
use	use	vvb	use	use	0
the	the	dt	the	the	0
fewer	fewer	dc	fewer	few	0
and	and	cc	and	and	0
lesse	lesse	av-dc	less	less	0
words	words	n2	words	word	0
:	:	:	:	:	0
onely	onely	av-j	only	only	0
we	we	pns12	we	we	0
request	request	vvb	request	request	0
that	that	d	that	that	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
honestly	honestly	av-j	honestly	honest	0
intreated	intreated	vvn	entreated	entreat	0
and	and	cc	and	and	0
received	received	vvn	received	receive	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
