A	A	dt	A	a	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Azores	Azores	n2	Azores	azore	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
pinases	pinases	n2	pinnaces	pinnace	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
the	the	dt	the	the	0
Mary	Mary	uh	Marry	mary	0
Sparke	Sparke	n1	Spark	spark	0
of	of	pp-f	of	of	0
Plimouth	Plimouth	np1	Plimouth	Plymouth	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
belonging	belonging	vvg	belonging	belong	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Walter	Walter	np1	Walter	Walter	0
Ralegh	Ralegh	np1	Ralegh	Ralegh	0
,	,	,	,	,	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
John	John	np1	John	John	0
Evesham	Evesham	np1	Evesham	Evesham	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
the	the	dt	the	the	0
governour	governour	n1	governor	governor	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Sainct	Sainct	n1	Saint	saint	0
Michael	Michael	np1	Michael	Michael	0
,	,	,	,	,	0
and	and	cc	and	and	0
Pedro	Pedro	np1	Pedro	Pedro	0
Sarmiento	Sarmiento	np1	Sarmiento	Sarmiento	0
governour	governour	n1	governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Straits	Straits	n2	Straits	strait	0
of	of	pp-f	of	of	0
Magalanes	Magalanes	n2	Magalanes	magalane	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1586.	1586.	crd	1586.	1586.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
10.	10.	crd	10.	10.	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1586.	1586.	crd	1586.	1586.	0
we	we	n1	we	we	0
departed	departed	vvn	departed	depart	0
from	from	p-acp	from	from	0
Plimouth	Plimouth	np1	Plimouth	Plymouth	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
Pinases	Pinases	n2	Pinnaces	pinnace	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Serpent	Serpent	n1	Serpent	serpent	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
burden	burden	n1	burden	burden	0
of	of	pp-f	of	of	0
35.	35.	crd	35.	35.	1
Tunnes	Tunnes	n2	Tons	ton	0
,	,	,	,	,	0
