A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
Spanish	Spanish	jp	Spanish	spanish	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Alger	Alger	np1	Alger	Alger	0
,	,	,	,	,	0
the	the	dt	the	the	0
20.	20.	crd	20.	20.	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
1584.	1584.	crd	1584.	1584.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
English	English	jp	English	english	0
captives	captives	n2-jn	captives	captive	0
there	there	pc-acp	there	there	0
detained	detained	vvn	detained	detain	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Right	Right	av-jn	Right	right	0
high	high	j	high	high	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
king	king	n1	king	king	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
high	high	j	high	high	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
mightie	mightie	j	mighty	mighty	0
majestie	majestie	n1	majesty	majesty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signor	Signor	n1	Signor	signior	0
hath	hath	vhz	hath	have	0
confirmed	confirmed	vvn	confirmed	confirm	0
certaine	certaine	j	certain	certain	0
articles	articles	n2	articles	article	0
of	of	pp-f	of	of	0
privileges	privileges	n2	privileges	privilege	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
majestie	majestie	n1	majesty	majesty	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
that	that	cst	that	that	0
her	her	po31	her	her	0
subjects	subjects	n2-jn	subject's	subject	0
may	may	vmb	may	may	0
freely	freely	av-j	freely	free	0
go	go	vvi	go	go	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
traffique	traffique	vvi	traffic	traffic	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
land	land	n1	land	land	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
dominions	dominions	n2	dominions	dominion	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
