The	The	dt	The	the	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
and	and	cc	and	and	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
his	his	po31	his	his	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
to	to	p-acp	to	to	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hands	hands	n2	hands	hand	0
of	of	pp-f	of	of	0
Richard	Richard	np1	Richard	Richard	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
.	.	.	.	.	1
Ivan	Ivan	np1	Ivan	Ivan	0
Vasi-livich	Vasi-livich	j	Vasi-livich	vasi-livich	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
John	John	np1	John	John	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
Basilius	Basilius	np1	Basilius	Basilius	0
.	.	.	.	.	1
He	He	pns31	He	he	0
Almighty	Almighty	np1	Almighty	Almighty	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
incomprehensible	incomprehensible	j	incomprehensible	incomprehensible	0
holy	holy	j	holy	holy	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
,	,	,	,	,	0
rightfull	rightfull	j	rightful	rightful	0
Christian	Christian	np1	Christian	Christian	0
beliefe	beliefe	n1	belief	belief	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
We	We	pns12	We	we	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
Ivan	Ivan	np1	Ivan	Ivan	0
Vasilivich	Vasilivich	np1	Vasilivich	Vasilivich	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
great	great	j	great	great	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
Emperor	Emperor	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Volodemer	Volodemer	n1	Volodemer	volodemer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novograd	Novograd	np1	Novograd	Novograd	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Kazan	Kazan	np1	Kazan	Kazan	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Plesko	Plesko	np1	Plesko	Plesko	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Smolensko	Smolensko	np1	Smolensko	Smolensko	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Twerria	Twerria	np1	Twerria	Twerria	0
,	,	,	,	,	0
Joughoria	Joughoria	np1	Joughoria	Joughoria	0
,	,	,	,	,	0
Permia	Permia	np1	Permia	Permia	0
,	,	,	,	,	0
Vadska	Vadska	np1	Vadska	Vadska	0
,	,	,	,	,	0
Bulghoria	Bulghoria	np1	Bulghoria	Bulghoria	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Novograd	Novograd	np1	Novograd	Novograd	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Low	Low	j	Low	low	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Chernigo	Chernigo	np1	Chernigo	Chernigo	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotskoy	Polotskoy	np1	Polotskoy	Polotskoy	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Yaruslavely	Yaruslavely	av-j	Yaruslavely	yaruslave	0
,	,	,	,	,	0
Bealozera	Bealozera	np1	Bealozera	Bealozera	0
,	,	,	,	,	0
Liefland	Liefland	np1	Liefland	Liefland	0
,	,	,	,	,	0
Oudoria	Oudoria	np1	Oudoria	Oudoria	0
,	,	,	,	,	0
Obdoria	Obdoria	np1	Obdoria	Obdoria	0
and	and	cc	and	and	0
Condensa	Condensa	fw-la	Condensa	condensa	0
,	,	,	,	,	0
Commander	Commander	n1	Commander	commander	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Siberia	Siberia	np1	Siberia	Siberia	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Before	Before	p-acp	Before	before	0
all	all	d	all	all	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
great	great	j	great	great	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
of	of	pp-f	of	of	0
honour	honour	n1	honour	honour	0
Edward	Edward	np1	Edward	Edward	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
hearty	hearty	j	hearty	hearty	0
and	and	cc	and	and	0
good	good	j	good	good	0
zeale	zeale	n1	zeal	zeal	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
intent	intent	n1	intent	intent	0
and	and	cc	and	and	0
friendly	friendly	j	friendly	friendly	0
desire	desire	n1	desire	desire	0
,	,	,	,	,	0
&	&	cc	&	and	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
holy	holy	j	holy	holy	0
Christian	Christian	njp	Christian	christian	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&	&	cc	&	and	0
great	great	j	great	great	0
governance	governance	n1	governance	governance	0
,	,	,	,	,	0
&	&	cc	&	and	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
