The	The	dt	The	the	0
Turkes	Turkes	np2	Turkes	Turk	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
,	,	,	,	,	0
commanding	commanding	vvg	commanding	command	0
the	the	dt	the	the	0
restitution	restitution	n1	restitution	restitution	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
English	English	jp	English	english	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
sent	sent	vvd	sent	send	0
from	from	p-acp	from	from	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Mahomet	Mahomet	np1	Mahomet	Mahomet	0
Beg	Beg	vvb	Beg	beg	0
,	,	,	,	,	0
a	a	dt	a	a	0
Justice	Justice	n1	Justice	justice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Turkes	Turkes	np2	Turkes	Turk	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
English	English	jp	English	english	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
called	called	vvd	called	call	0
Master	Master	n1	Master	master	0
Edward	Edward	np1	Edward	Edward	0
Barton	Barton	np1	Barton	Barton	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1584.	1584.	crd	1584.	1584.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Onourable	Onourable	j	Onourable	onourable	0
,	,	,	,	,	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
Bassa	Bassa	n1	Bassa	bassa	0
Romadan	Romadan	np1	Romadan	Romadan	0
