A	A	dt	A	a	0
shorte	shorte	j	short	short	0
and	and	cc	and	and	0
briefe	briefe	j	brief	brief	0
narration	narration	n1	narration	narration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Navigation	Navigation	n1	Navigation	navigation	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
commandement	commandement	n1	commandment	commandment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
,	,	,	,	,	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
,	,	,	,	,	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
,	,	,	,	,	0
and	and	cc	and	and	0
divers	divers	j	diverse	diverse	0
others	others	n2-jn	others	other	0
which	which	r-crq	which	which	0
now	now	av	now	now	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
New	New	j	New	new	0
France	France	np1	France	France	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
particular	particular	j	particular	particular	0
cus-tomes	cus-tomes	n2	customs	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
maners	maners	n2	manners	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Chap.	Chap.	np1	Chap.	Chap.	0
i	i	sy	i	i	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1535	1535	crd	1535	1535	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
Whitsunday	Whitsunday	np1	Whitsunday	Whitsunday	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
16.	16.	crd	16.	16.	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
commandement	commandement	n1	commandment	commandment	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Captaine	Captaine	n1	Captain	captain	0
James	James	np1	James	James	0
Cartier	Cartier	np1	Cartier	Cartier	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
common	common	j	common	common	0
accord	accord	n1	accord	accord	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Cathedrall	Cathedrall	n1	Cathedral	cathedral	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Malo	Malo	np1	Malo	Malo	0
we	we	pns12	we	we	0
devoutly	devoutly	av-j	devoutly	devout	0
each	each	d	each	each	0
one	one	pi	one	one	0
confessed	confessed	vvd	confessed	confess	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
and	and	cc	and	and	0
received	received	vvd	received	receive	0
the	the	dt	the	the	0
Sacrament	Sacrament	n1	Sacrament	sacrament	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
all	all	d	all	all	0
entring	entring	vvg	entering	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Quier	Quier	n1	Quire	quire	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Church	Church	n1	Church	church	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
presented	presented	vvd	presented	present	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Father	Father	n1	Father	father	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Malo	Malo	np1	Malo	Malo	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
blessed	blessed	vvd	blessed	bless	0
us	us	pno12	us	we	0
all	all	d	all	all	0
,	,	,	,	,	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
Bishops	Bishops	ng1	Bishops	bishop	0
roabes	roabes	n2	robes	robe	0
.	.	.	.	.	1
The	The	dt	The	the	0
Wednesday	Wednesday	np1	Wednesday	Wednesday	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
19	19	crd	19	19	0
of	of	pp-f	of	of	0
May	May	n1	May	may	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
arose	arose	vvd	arose	arise	0
a	a	dt	a	a	0
good	good	j	good	good	0
gale	gale	n1	gale	gale	0
of	of	pp-f	of	of	0
wind	wind	n1	wind	wind	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
we	we	pns12	we	we	0
hoysed	hoysed	vvd	hoised	hoist	0
sayle	sayle	n1	sail	sail	0
with	with	p-acp	with	with	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
Hermina	Hermina	np1	Hermina	Hermina	0
,	,	,	,	,	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
burden	burden	n1	burden	burden	0
about	about	p-acp	about	about	0
a	a	dt	a	a	0
hun-dreth	hun-dreth	j	hundredth	hundredth	0
,	,	,	,	,	0
or	or	cc	or	or	0
a	a	dt	a	a	0
hundreth	hundreth	ord	hundreth	hundred	0
and	and	cc	and	and	0
twenty	twenty	crd	twenty	twenty	0
tunne	tunne	n1	tun	ton	0
,	,	,	,	,	0
wherin	wherin	c-crq	wherein	wherein	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
Captaine	Captaine	n1	Captain	captain	0
James	James	np1	James	James	0
Cartier	Cartier	np1	Cartier	Cartier	0
was	was	vbds	was	be	0
general	general	j	general	general	0
,	,	,	,	,	0
and	and	cc	and	and	0
master	master	n1	master	master	0
Thomas	Thomas	np1	Thomas	Thomas	0
Frosmont	Frosmont	np1	Frosmont	Frosmont	0
chiefe	chiefe	j-jn	chief	chief	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
accompanied	accompanied	vvn	accompanied	accompany	0
with	with	p-acp	with	with	0
master	master	n1	master	master	0
Claudius	Claudius	np1	Claudius	Claudius	0
de	de	fw-fr	de	de	0
Pont	Pont	np1	Pont	Pont	0
Briand	Briand	np1	Briand	Briand	0
,	,	,	,	,	0
sonne	sonne	n1	son	son	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Lorde	Lorde	n1	Lord	lord	0
of	of	pp-f	of	of	0
Montcevell	Montcevell	np1	Montcevell	Montcevell	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cup-bearer	Cup-bearer	n1	Cupbearer	cupbearer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Dolphin	Dolphin	n1	Dolphin	dolphin	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
,	,	,	,	,	0
Charles	Charles	np1	Charles	Charles	0
of	of	pp-f	of	of	0
Pomeraies	Pomeraies	n2	Pomeraies	pomeray	0
,	,	,	,	,	0
John	John	np1	John	John	0
Powlet	Powlet	np1	Powlet	Powlet	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
little	little	j	little	little	0
Hermina	Hermina	np1	Hermina	Hermina	0
,	,	,	,	,	0
being	being	vbg	being	be	0
of	of	pp-f	of	of	0
210	210	crd	210	210	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
threescore	threescore	crd	threescore	threescore	0
tunne	tunne	n1	tun	ton	0
burden	burden	n1	burden	burden	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
Captaines	Captaines	n2	Captains	captain	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Cartier	Cartier	np1	Cartier	Cartier	0
,	,	,	,	,	0
Mace	Mace	n1	Mace	mace	0
