RICHARD	RICHARD	np1	RICHARD	Richard	0
HACKLUIT’S	HACKLUIT’S	vvz	HACKLUIT’S	hackluit’s	0
DIRECTIONS	DIRECTIONS	n2	DIRECTIONS	direction	0
a.d.	a.d.	n1	a.d.	a.d.	1
*	*	*	*	*	0
579	579	crd	579	579	0
-	-	-	-	-	0
Certaine	Certaine	j	Certain	certain	0
directions	directions	n2	directions	direction	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
[	[	[	[	[	0
I	I	pns11	I	i	0
-	-	-	-	-	0
432	432	crd	432	432	0
-	-	-	-	-	0
]	]	]	]	]	0
Hackluit	Hackluit	fw-la	Hackluit	hackluit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Middle	Middle	j-jn	Middle	middle	0
Temple	Temple	n1	Temple	temple	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Morgan	Morgan	np1	Morgan	Morgan	0
Hubblethorne	Hubblethorne	np1	Hubblethorne	Hubblethorne	0
,	,	,	,	,	0
Dier	Dier	np1	Dier	Dier	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
into	into	p-acp	into	into	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
1579	1579	crd	1579	1579	0
-	-	-	-	-	0
i	i	sy	i	i	0
TTOr	TTOr	np1	TTOr	TTOr	0
that	that	cst	that	that	0
England	England	np1	England	England	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
best	best	js	best	best	0
wool	wool	n1	wool	wool	0
&	&	cc	&	and	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
X1	X1	np1	X1	X1	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
the	the	dt	the	the	0
clothes	clothes	n2	clothes	clothes	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
have	have	vhb	have	have	0
no	no	dx	no	no	0
good	good	j	good	good	0
vent	vent	n1	vent	vent	0
,	,	,	,	,	0
if	if	cs	if	if	0
good	good	j	good	good	0
dying	dying	j-vvg	dying	die	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
added	added	vvn	added	add	0
:	:	:	:	:	0
therfore	therfore	av	therefore	therefore	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wished	wished	vvn	wished	wish	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
dying	dying	j-vvg	dying	die	0
of	of	pp-f	of	of	0
forren	forren	j	foreign	foreign	0
countreyes	countreyes	n2	countries	country	0
were	were	vbdr	were	be	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
the	the	dt	the	the	0
arte	arte	n1	art	art	0
of	of	pp-f	of	of	0
dying	dying	j-vvg	dying	die	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
in	in	p-acp	in	in	0
greatest	greatest	js	greatest	great	0
excellency	excellency	n1	excellency	excellency	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
thereof	thereof	av	thereof	thereof	0
will	will	vmb	will	will	0
follow	follow	vvi	follow	follow	0
honour	honour	n1	honour	honour	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
and	and	cc	and	and	0
ample	ample	j	ample	ample	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
clothes	clothes	n2	clothes	clothes	0
:	:	:	:	:	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
will	will	vmb	will	will	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
setting	setting	n-vvg	setting	set	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
poore	poore	j	poor	poor	0
on	on	p-acp	on	on	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
labour	labour	n1	labour	labour	0
in	in	p-acp	in	in	0
clothing	clothing	vvg	clothing	clothe	0
and	and	cc	and	and	0
dying	dying	vvg	dying	die	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
which	which	r-crq	which	which	0
cause	cause	n1	cause	cause	0
most	most	ds	most	most	0
principally	principally	av-j	principally	principal	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
sent	sent	vvn	sent	send	0
over	over	a-acp	over	over	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
city	city	n1	city	city	0
:	:	:	:	:	0
and	and	cc	and	and	0
therfore	therfore	av	therefore	therefore	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
satisfying	satisfying	vvg	satisfying	satisfy	0
the	the	dt	the	the	0
lords	lords	n2	lords	lord	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
expectation	expectation	n1	expectation	expectation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
merchants	merchants	n2	merchant's	merchant	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
company	company	n1	company	company	0
,	,	,	,	,	0
it	it	pn31	it	it	0
behooves	behooves	vvz	behooves	behoove	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
home	home	av-an	home	home	0
with	with	p-acp	with	with	0
more	more	dc	more	more	0
knowledge	knowledge	n1	knowledge	knowledge	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
caried	caried	vvd	carried	carry	0
out	out	av	out	out	0
.	.	.	.	.	1
2	2	crd	2	2	0
The	The	dt	The	the	0
great	great	j	great	great	0
dearth	dearth	n1	dearth	dearth	0
of	of	pp-f	of	of	0
clothes	clothes	n2	clothes	clothes	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
let	let	vvb	let	let	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ample	ample	j	ample	ample	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
price	price	n1	price	price	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
cloth	cloth	n1	cloth	cloth	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
fifth	fifth	ord	fifth	five	0
,	,	,	,	,	0
sixth	sixth	ord	sixth	six	0
and	and	cc	and	and	0
seventh	seventh	ord	seventh	seven	0
part	part	n1	part	part	0
riseth	riseth	vvz	riseth	rise	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
colour	colour	n1	colour	colour	0
and	and	cc	and	and	0
dying	dying	j-vvg	dying	die	0
:	:	:	:	:	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
to	to	pc-acp	to	to	0
devise	devise	vvi	devise	devise	0
to	to	pc-acp	to	to	0
die	die	vvi	die	die	0
as	as	c-acp	as	as	0
good	good	j	good	good	0
colours	colours	n2	colours	colour	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
one	one	crd	one	one	0
halfe	halfe	n-jn	half	half	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
present	present	j	present	present	0
price	price	n1	price	price	0
were	were	vbdr	were	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
commodity	commodity	n1	commodity	commodity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
saving	saving	vvg	saving	save	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
treasure	treasure	n1	treasure	treasure	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
great	great	j	great	great	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
materials	materials	n2-jn	materials	material	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
countreys	countreys	ng2	countries'	country	0
that	that	d	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
passe	passe	vvi	pass	pass	0
thorow	thorow	p-acp	thorough	through	0
,	,	,	,	,	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
used	used	vvn	used	use	0
in	in	p-acp	in	in	0
dying	dying	vvg	dying	die	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
hearbs	hearbs	n2	herbs	herb	0
,	,	,	,	,	0
weeds	weeds	n2	weeds	weed	0
,	,	,	,	,	0
barks	barks	n2	barks	bark	0
,	,	,	,	,	0
gummes	gummes	n2	gums	gum	0
,	,	,	,	,	0
earths	earths	n2	earth's	earth	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	q-crq	what	what	0
els	els	av	else	else	0
soever	soever	av	soever	soever	0
.	.	.	.	.	1
3	3	crd	3	3	0
In	In	p-acp	In	in	0
Persia	Persia	np1	Persia	Persia	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
carpets	carpets	n2	carpets	carpet	0
of	of	pp-f	of	of	0
course	course	n1	course	course	0
thrummed	thrummed	vvn	thrummed	thrum	0
wooll	wooll	n1	wool	wool	0
,	,	,	,	,	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
and	and	cc	and	and	0
excellently	excellently	av-j	excellently	excellent	0
coloured	coloured	vvn	coloured	colour	0
:	:	:	:	:	0
those	those	d	those	those	0
cities	cities	n2	cities	city	0
&	&	cc	&	and	0
townes	townes	n2	towns	town	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
repaire	repaire	vvi	repair	repair	0
to	to	p-acp	to	to	0
,	,	,	,	,	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
use	use	vvi	use	use	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
all	all	d	all	all	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
