An	An	dt	And	a	0
agreement	agreement	n1	agreement	agreement	0
made	made	vvd	made	make	0
betweene	betweene	p-acp	between	between	0
King	King	n1	King	king	0
Henrie	Henrie	np1	Henrie	Henry	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
and	and	cc	and	and	0
the	the	dt	the	the	0
common	common	j	common	common	0
societie	societie	n1	society	society	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THis	THis	d	THis	this	0
Indenture	Indenture	n1	Indenture	indenture	0
made	made	vvn	made	make	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
Sir	Sir	n1	Sir	sir	0
William	William	np1	William	William	0
Esturmy	Esturmy	n1	Esturmy	esturmy	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
John	John	np1	John	John	0
Kington	Kington	np1	Kington	Kington	0
clearke	clearke	n1	clerk	clerk	0
,	,	,	,	,	0
procurators	procurators	n2	procurators	procurator	0
,	,	,	,	,	0
messengers	messengers	n2	messengers	messenger	0
,	,	,	,	,	0
and	and	cc	and	and	0
commissioners	commissioners	n2	commissioners	commissioner	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
deputed	deputed	vvn	deputed	depute	0
and	and	cc	and	and	0
authorized	authorized	vvn	authorized	authorize	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Henry	Henry	np1	Henry	Henry	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
performation	performation	n1	performation	performation	0
of	of	pp-f	of	of	0
ye	ye	dt	the	the	0
things	things	n2	things	thing	0
underwritten	underwritten	vvd	underwritten	underwrite	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
part	part	n1	part	part	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
hon	hon	n1	hon	hon	0
.	.	.	.	.	0
personages	personages	n2	personages	personage	0
M.	M.	n1	M.	m.	0
