A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
siege	siege	n1	siege	siege	0
and	and	cc	and	and	0
taking	taking	vvg	taking	take	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Sultan	Sultan	n1	Sultan	sultan	0
Soliman	Soliman	np1	Soliman	Soliman	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
translated	translated	vvn	translated	translate	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
French	French	jp	French	french	0
into	into	p-acp	into	into	0
English	English	jp	English	english	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
motion	motion	n1	motion	motion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Reverend	Reverend	n-jn	Reverend	reverend	0
Lord	Lord	n1	Lord	lord	0
Thomas	Thomas	np1	Thomas	Thomas	0
Dockwray	Dockwray	vvi	Dockwray	dockwray	0
,	,	,	,	,	0
great	great	j	great	great	0
Prior	Prior	n1	Prior	prior	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
1524.	1524.	crd	1524.	1524.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Illing	Illing	j-vvg-u	Illing	ill	0
faithfully	faithfully	av-j	faithfully	faithful	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
and	and	cc	and	and	0
reduce	reduce	vvi	reduce	reduce	0
in	in	p-acp	in	in	0
veritie	veritie	n1	verity	verity	0
Historiali	Historiali	fw-la	Historiali	historiali	0
,	,	,	,	,	0
the	the	dt	the	the	0
great	great	j	great	great	0
siege	siege	n1	siege	siege	0
,	,	,	,	,	0
cruel	cruel	j	cruel	cruel	0
oppugnation	oppugnation	n1	oppugnation	oppugnation	0
,	,	,	,	,	0
and	and	cc	and	and	0
piteous	piteous	j	piteous	piteous	0
taking	taking	n-vvg	taking	take	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
renowmed	renowmed	j-vvn	renowned	renown	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
the	the	dt	the	the	0
key	key	n1	key	key	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
,	,	,	,	,	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
poore	poore	j	poor	poor	0
Christian	Christian	njp	Christian	christian	0
men	men	n2	men	man	0
,	,	,	,	,	0
withholden	withholden	vvi	withholden	withhold	0
in	in	p-acp	in	in	0
Turkic	Turkic	j	Turkic	turkic	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
faith	faith	n1	faith	faith	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
and	and	cc	and	and	0
yeerely	yeerely	j	yearly	yearly	0
solace	solace	n1	solace	solace	0
of	of	pp-f	of	of	0
noble	noble	j	noble	noble	0
pilgrimes	pilgrimes	n2	pilgrimss	pilgrim	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
holy	holy	j	holy	holy	0
sepulchre	sepulchre	n1	sepulchre	sepulchre	0
of	of	pp-f	of	of	0
Jesu	Jesu	np1	Jesu	Jesus	0
Christ	Christ	np1	Christ	Christ	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
holy	holy	j	holy	holy	0
places	places	n2	places	place	0
:	:	:	:	:	0
the	the	dt	the	the	0
refuge	refuge	n1	refuge	refuge	0
and	and	cc	and	and	0
refreshing	refreshing	n-vvg	refreshing	refresh	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Christian	Christian	njp	Christian	christian	0
people	people	n1	people	people	0
:	:	:	:	:	0
having	having	vhg	having	have	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
marchandise	marchandise	n1	merchandise	merchandise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
parties	parties	n2	parties	party	0
of	of	pp-f	of	of	0
Levant	Levant	np1	Levant	Levant	0
,	,	,	,	,	0
I	I	pns11	I	i	0
promise	promise	vvb	promise	promise	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
estates	estates	n2	estates	estate	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
this	this	d	this	this	0
present	present	j	present	present	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
left	left	vvn	left	leave	0
nothing	nothing	pix	nothing	nothing	0
for	for	p-acp	for	for	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
person	person	n1	person	person	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
preferred	preferred	vvd	preferred	prefer	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
favour	favour	n1	favour	favour	0
.	.	.	.	.	1
And	And	cc	And	and	0
first	first	ord	first	first	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
shewe	shewe	vvi	show	show	0
the	the	dt	the	the	0
occasions	occasions	n2	occasions	occasion	0
that	that	cst	that	that	0
mooved	mooved	vvd	moved	move	0
this	this	d	this	this	0
cruell	cruell	j	cruel	cruel	0
bloodshedder	bloodshedder	n1	bloodshedder	bloodshedder	0
,	,	,	,	,	0
enemie	enemie	n1	enemy	enemy	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
holy	holy	j	holy	holy	0
Christian	Christian	njp	Christian	christian	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
Sultan	Sultan	n1	Sultan	sultan	0
Soliman	Soliman	np1	Soliman	Soliman	0
,	,	,	,	,	0
now	now	av	now	now	0
being	being	vbg	being	be	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
great	great	j	great	great	0
hoste	hoste	n1	host	host	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
lande	lande	n1	land	land	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
besiege	besiege	vvi	besiege	besiege	0
and	and	cc	and	and	0
assayle	assayle	vvi	assail	assail	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
sixe	sixe	crd	sixe	six	0
moneths	moneths	n2	months	month	0
,	,	,	,	,	0
night	night	n1	night	night	0
and	and	cc	and	and	0
day	day	n1	day	day	0
,	,	,	,	,	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
The	The	dt	The	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
incarnation	incarnation	n1	incarnation	incarnation	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
Jesu	Jesu	np1	Jesu	Jesus	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1522.	1522.	crd	1522.	1522.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
The	The	dt	The	the	0
occasions	occasions	n2	occasions	occasion	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
occasions	occasions	n2	occasions	occasion	0
why	why	c-crq	why	why	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
besiege	besiege	vvi	besiege	besiege	0
the	the	dt	the	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
first	first	ord	first	first	0
and	and	cc	and	and	0
principali	principali	fw-la	principali	principali	0
cause	cause	n1	cause	cause	0
was	was	vbds	was	be	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
consider	consider	vvi	consider	consider	0
and	and	cc	and	and	0
sawe	sawe	vvd	saw	see	0
by	by	p-acp	by	by	0
experience	experience	n1	experience	experience	0
,	,	,	,	,	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
none	none	pix	none	none	0
other	other	j-jn	other	other	0
Towne	Towne	n1	Town	town	0
nor	nor	ccx	nor	nor	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
Levant	Levant	np1	Levant	Levant	0
that	that	cst	that	that	0
warred	warred	vvd	warred	war	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
nor	nor	ccx	nor	nor	0
kept	kept	vvd	kept	keep	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
doubt	doubt	n1	doubt	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
this	this	d	this	this	0
poore	poore	j	poor	poor	0
rocke	rocke	n1	rock	rock	0
of	of	pp-f	of	of	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
.	.	.	.	.	1
And	And	np1	And	And	0
hearing	hearing	vvg	hearing	hear	0
the	the	dt	the	the	0
continuall	continuall	j	continual	continual	0
complaintes	complaintes	n2	complaints	complaint	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
subjectes	subjectes	n2-jn	subjects	subject	0
aswell	aswell	av	aswell	aswell	0
of	of	pp-f	of	of	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
domages	domages	n2	domages	domage	0
and	and	cc	and	and	0
prises	prises	vvz	prizes	prize	0
dayly	dayly	av-j	daily	daily	0
done	done	vdn	done	do	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
bodies	bodies	n2	bodies	body	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
by	by	p-acp	by	by	0
Christian	Christian	njp	Christian	christian	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
received	received	vvn	received	receive	0
into	into	p-acp	into	into	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
:	:	:	:	:	0
And	And	cc	And	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
and	and	cc	and	and	0
gallies	gallies	n2	galleys	galley	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
conclusion	conclusion	n1	conclusion	conclusion	0
in	in	p-acp	in	in	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
put	put	vvi	put	put	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Towne	Towne	n1	Town	town	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
power	power	n1	power	power	0
and	and	cc	and	and	0
subjection	subjection	n1	subjection	subjection	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
peaceable	peaceable	j	peaceable	peaceable	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
parties	parties	n2	parties	party	0
of	of	pp-f	of	of	0
Levant	Levant	np1	Levant	Levant	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
his	his	po31	his	his	0
subjects	subjects	n2-jn	subject's	subject	0
should	should	vmd	should	shall	0
complaine	complaine	vvi	complain	complain	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
second	second	ord	second	second	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
followe	followe	vvi	follow	follow	0
the	the	dt	the	the	0
doings	doings	n2-vdg	doings	do	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
noble	noble	j	noble	noble	0
predecessours	predecessours	n2	predecessors	predecessor	0
,	,	,	,	,	0
and	and	cc	and	and	0
shewe	shewe	vvi	show	show	0
himselfe	himselfe	px31	himself	himself	0
very	very	j	very	very	0
heire	heire	n1	heir	heir	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mightie	mightie	j	mighty	mighty	0
and	and	cc	and	and	0
victorious	victorious	j	victorious	victorious	0
lord	lord	n1	lord	lord	0
Sultan	Sultan	n1	Sultan	sultan	0
Selim	Selim	np1	Selim	Selim	0
his	his	po31	his	his	0
father	father	n1	father	father	0
,	,	,	,	,	0
willing	willing	vvg	willing	will	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
the	the	dt	the	the	0
enterprise	enterprise	n1	enterprise	enterprise	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
left	left	vvd	left	leave	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
five	five	crd	five	five	0
hundred	hundred	crd	hundred	hundred	0
twentie	twentie	crd	twentie	twenty	0
and	and	cc	and	and	0
one	one	crd	one	one	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
Selim	Selim	np1	Selim	Selim	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
put	put	vvd	put	put	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
redinesse	redinesse	n1	readiness	readiness	0
his	his	po31	his	his	0
armie	armie	n1	army	army	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
three	three	crd	three	three	0
hundreth	hundreth	ord	hundreth	hundred	0
sayles	sayles	n2	sails	sail	0
purposing	purposing	vvg	purposing	purpose	0
for	for	p-acp	for	for	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
them	them	pno32	them	they	0
against	against	p-acp	against	against	0
Rhodes	Rhodes	np1	Rhodes	Rhodes	0
,	,	,	,	,	0
if	if	cs	if	if	0
mortalitie	mortalitie	n1	mortality	mortality	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
happened	happened	vvn	happened	happen	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
host	host	n1	host	host	0
,	,	,	,	,	0
and	and	cc	and	and	0
he	he	pns31	he	he	0
afterwarde	afterwarde	av	afterward	afterward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lorde	lorde	n1	lord	lord	0
was	was	vbds	was	be	0
surprised	surprised	vvn	surprised	surprise	0
