1557-for	1557-for	j	1557-for	1557-for	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
company	company	n1	company	company	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
chance	chance	vvi	chance	chance	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
unruly	unruly	j	unruly	unruly	0
.	.	.	.	.	1
The	The	dt	The	the	0
Kerils	Kerils	n2	Kerils	keril	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lappians	Lappians	njp2	Lappians	lappians	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
trusted	trusted	vvn	trusted	trust	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
steale	steale	vvi	steal	steal	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Russes	Russes	zz	Russes	russes	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
conveniently	conveniently	av-j	conveniently	convenient	0
come	come	vvi	come	come	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
.	.	.	.	.	1
Concerning	Concerning	vvg	Concerning	concern	0
my	my	po11	my	my	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
winde	winde	n1	wind	wind	0
was	was	vbds	was	be	0
scant	scant	av-j	scant	scant	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
to	to	p-acp	to	to	0
Colmogro	Colmogro	np1	Colmogro	Colmogro	0
,	,	,	,	,	0
I	I	pns11	I	i	0
tarried	tarried	vvd	tarried	tarry	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	n2-j	Eastwards	eastwards	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poynt	poynt	n1	point	point	0
Kegor	Kegor	np1	Kegor	Kegor	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
baked	baked	j-vvn	baked	bake	0
two	two	crd	two	two	0
batches	batches	n2	batches	batch	0
of	of	pp-f	of	of	0
bread	bread	n1	bred	bread	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ovens	ovens	n2	ovens	oven	0
that	that	cst	that	that	0
the	the	dt	the	the	0
