A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ports	ports	n2	ports	port	0
,	,	,	,	,	0
harbors	harbors	n2	harbors	harbour	0
,	,	,	,	,	0
forts	forts	n2	forts	fort	0
and	and	cc	and	and	0
cities	cities	n2	cities	city	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
west	west	n1	west	west	0
Indies	Indies	np1	Indies	Indies	0
which	which	q-crq	which	which	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
sur-veied	sur-veied	j	surveyed	surveyed	0
,	,	,	,	,	0
edified	edified	vvn	edified	edify	0
,	,	,	,	,	0
finished	finished	vvn	finished	finish	0
,	,	,	,	,	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
mended	mended	vvn	mended	mend	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
those	those	d	those	those	0
which	which	r-crq	which	which	0
have	have	vhb	have	have	0
bene	bene	vbn	be	be	0
builded	builded	vvn	built	build	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
survey	survey	n1	survey	survey	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
his	his	po31	his	his	0
direction	direction	n1	direction	direction	0
and	and	cc	and	and	0
commandement	commandement	n1	commandment	commandment	0
:	:	:	:	:	0
Written	Written	vvn	Written	write	0
by	by	p-acp	by	by	0
Baptista	Baptista	np1	Baptista	Baptista	0
Antonio	Antonio	np1	Antonio	Antonio	0
,	,	,	,	,	0
surveyour	surveyour	n1	surveyor	surveyor	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
King	King	n1	King	king	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1587.	1587.	crd	1587.	1587.	1
Santa	Santa	np1	Santa	Santa	0
Marta	Marta	np1	Marta	Marta	0
.	.	.	.	.	0
made	made	vvn	made	make	0
