The	The	dt	The	the	0
Letters	Letters	n2	Letters	letter	0
patents	patents	n2	patents	patent	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestic	Majestic	j	Majestic	majestic	0
,	,	,	,	,	0
granted	granted	vvn	granted	grant	0
to	to	p-acp	to	to	0
Master	Master	n1	Master	master	0
Adrian	Adrian	np1	Adrian	Adrian	0
Gylbert	Gylbert	np1	Gylbert	Gylbert	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
search	search	n1	search	search	0
and	and	cc	and	and	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
Northwest	Northwest	av-an	Northwest	northwest	0
Passage	Passage	n1	Passage	passage	0
to	to	p-acp	to	to	0
China	China	np1	China	China	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
Queene	Queene	n1	Queen	queen	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
all	all	d	all	all	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whome	whome	ro-crq	whom	who	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
:	:	:	:	:	0
Forasmuch	Forasmuch	av	Forasmuch	forasmuch	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
trustie	trustie	j	trusty	trusty	0
and	and	cc	and	and	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
subject	subject	j-jn	subject	subject	0
Adrian	Adrian	np1	Adrian	Adrian	0
Gylbert	Gylbert	np1	Gylbert	Gylbert	0
of	of	pp-f	of	of	0
Sandridge	Sandridge	np1	Sandridge	Sandridge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countie	Countie	n1	County	county	0
of	of	pp-f	of	of	0
Devon	Devon	np1	Devon	Devon	0
,	,	,	,	,	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
great	great	j	great	great	0
costes	costes	n2	costs	cost	0
and	and	cc	and	and	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
greatly	greatly	av-j	greatly	great	0
and	and	cc	and	and	0
earnestly	earnestly	av-j	earnestly	earnest	0
travelled	travelled	vvn	traveled	travel	0
and	and	cc	and	and	0
sought	sought	vvn	sought	seek	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
doth	doth	vdz	does	do	0
travell	travell	vvi	travel	travel	0
and	and	cc	and	and	0
seeke	seeke	vvi	seek	seek	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
divers	divers	j	diverse	diverse	0
meanes	meanes	n2	means	mean	0
indevoureth	indevoureth	vvz	endeavoureth	endeavour	0
and	and	cc	and	and	0
laboureth	laboureth	vvz	laboureth	labour	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Passage	Passage	n1	Passage	passage	0
unto	unto	p-acp	unto	unto	0
China	China	np1	China	China	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Moluccas	Moluccas	np1	Moluccas	Moluccas	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Northwestward	Northwestward	av	Northwestward	northwestward	0
,	,	,	,	,	0
Northeastward	Northeastward	av	Northeastward	northeastward	0
,	,	,	,	,	0
or	or	cc	or	or	0
Northward	Northward	av-j	Northward	northward	0
,	,	,	,	,	0
375	375	crd	375	375	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
unto	unto	p-acp	unto	unto	0
which	which	r-crq	which	which	0
part	part	n1	part	part	0
or	or	cc	or	or	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
loyall	loyall	j	loyal	loyal	0
Subjects	Subjects	n2-jn	Subject's	subject	0
have	have	vhb	have	have	0
hitherto	hitherto	av	hitherto	hitherto	0
had	had	vhd	had	have	0
any	any	d	any	any	0
traffique	traffique	n1	traffic	traffic	0
or	or	cc	or	or	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
and	and	cc	and	and	0
frequented	frequented	vvd	frequented	frequent	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
:	:	:	:	:	0
Knowe	Knowe	vvb	Know	know	0
yee	yee	pn22	ye	you	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
considerations	considerations	n2	considerations	consideration	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
divers	divers	j	diverse	diverse	0
other	other	j-jn	other	other	0
good	good	j	good	good	0
considerations	considerations	n2	considerations	consideration	0
us	us	pno12	us	we	0
thereunto	thereunto	av	thereunto	thereunto	0
specially	specially	av-j	specially	special	0
mooving	mooving	n-vvg	moving	move	0
.	.	.	.	.	1
We	We	pns12	We	we	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
grace	grace	n1	grace	grace	0
especiall	especiall	j	especial	especial	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
knowledge	knowledge	n1	knowledge	knowledge	0
,	,	,	,	,	0
and	and	cc	and	and	0
meere	meere	j	mere	mere	0
motion	motion	n1	motion	motion	0
,	,	,	,	,	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
and	and	cc	and	and	0
granted	granted	vvn	granted	grant	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
and	and	cc	and	and	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
give	give	vvi	give	give	0
and	and	cc	and	and	0
grant	grant	vvi	grant	grant	0
free	free	j	free	free	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
power	power	n1	power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
full	full	j	full	full	0
authoritie	authoritie	n1	authority	authority	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Adrian	Adrian	np1	Adrian	Adrian	0
Gylbert	Gylbert	np1	Gylbert	Gylbert	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
or	or	cc	or	or	0
his	his	po31	his	his	0
heires	heires	n2	heirs	heir	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
assigned	assigned	vvn	assigned	assign	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
those	those	d	those	those	0
his	his	po31	his	his	0
associates	associates	n2	associates	associate	0
and	and	cc	and	and	0
assistants	assistants	n2	assistants	assistant	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
names	names	n2	names	name	0
are	are	vbr	are	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
Scedule	Scedule	n1	Schedule	schedule	0
hereunto	hereunto	av	hereunto	hereunto	0
annexed	annexed	vvn	annexed	annex	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
heires	heires	n2	heirs	heir	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
assignee	assignee	n1	assignee	assignee	0
of	of	pp-f	of	of	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
each	each	d	each	each	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
heires	heires	n2	heirs	heir	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
or	or	cc	or	or	0
times	times	n2	times	time	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
date	date	n1	date	date	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
Banners	Banners	n2	Banners	banner	0
and	and	cc	and	and	0
Ensignes	Ensignes	n2	Ensigns	ensign	0
freely	freely	av-j	freely	free	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
let	let	vvb	let	let	0
,	,	,	,	,	0
interruption	interruption	n1	interruption	interruption	0
,	,	,	,	,	0
or	or	cc	or	or	0
restraint	restraint	n1	restraint	restraint	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
our	our	po12	our	our	0
heires	heires	n2	heirs	heir	0
or	or	cc	or	or	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
any	any	d	any	any	0
law	law	n1	law	law	0
,	,	,	,	,	0
statute	statute	n1	statute	statute	0
,	,	,	,	,	0
proclamation	proclamation	n1	proclamation	proclamation	0
,	,	,	,	,	0
patent	patent	n1	patent	patent	0
,	,	,	,	,	0
charter	charter	n1	charter	charter	0
,	,	,	,	,	0
or	or	cc	or	or	0
proviso	proviso	n1	proviso	proviso	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
saile	saile	vvi	sail	sail	0
,	,	,	,	,	0
make	make	vvb	make	make	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
our	our	po12	our	our	0
Realmes	Realmes	n2	Realms	realm	0
,	,	,	,	,	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
or	or	cc	or	or	0
Territories	Territories	n2	Territories	territory	0
into	into	p-acp	into	into	0
all	all	d	all	all	0
or	or	cc	or	or	0
any	any	d	any	any	0
Isles	Isles	n2	Isles	isle	0
,	,	,	,	,	0
Countreys	Countreys	ng2	Countries'	country	0
,	,	,	,	,	0
Regions	Regions	n2	Regions	region	0
,	,	,	,	,	0
Provinces	Provinces	n2	Provinces	province	0
,	,	,	,	,	0
Territories	Territories	n2	Territories	territory	0
,	,	,	,	,	0
Seas	Seas	n2	Seas	sea	0
,	,	,	,	,	0
Rivers	Rivers	n2	Rivers	river	0
,	,	,	,	,	0
Portes	Portes	n2	Ports	port	0
,	,	,	,	,	0
Bayes	Bayes	n2	Baize	bay	0
,	,	,	,	,	0
Creekes	Creekes	n2	Creeks	creek	0
,	,	,	,	,	0
armes	armes	n2	arms	arm	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
Havens	Havens	n2	Havens	haven	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayde	sayde	vvd	said	say	0
Northwestward	Northwestward	av	Northwestward	northwestward	0
,	,	,	,	,	0
Northeastward	Northeastward	av	Northeastward	northeastward	0
,	,	,	,	,	0
or	or	cc	or	or	0
Northward	Northward	av-j	Northward	northward	0
,	,	,	,	,	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
his	his	po31	his	his	0
associates	associates	n2	associates	associate	0
or	or	cc	or	or	0
assignes	assignes	vvz	assigns	assign	0
discovered	discovered	vvn	discovered	discover	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
