A	A	dt	A	a	0
true	true	j	true	true	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
three	three	crd	three	three	0
Voyages	Voyages	n2	Voyages	voyage	0
of	of	pp-f	of	of	0
discoverie	discoverie	n1	discovery	discovery	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
finding	finding	n-vvg	finding	find	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
passage	passage	n1	passage	passage	0
to	to	p-acp	to	to	0
Cathaya	Cathaya	np1	Cathaya	Cathaya	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Northwest	Northwest	av-an	Northwest	northwest	0
,	,	,	,	,	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
conduct	conduct	n1	conduct	conduct	0
of	of	pp-f	of	of	0
Martin	Martin	np1	Martin	Martin	0
Frobisher	Frobisher	np1	Frobisher	Frobisher	0
Generali	Generali	fw-la	Generali	generali	0
:	:	:	:	:	0
Before	Before	p-acp	Before	before	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
necessary	necessary	j	necessary	necessary	0
Preface	Preface	n1	Preface	preface	0
is	is	vbz	is	be	0
prefixed	prefixed	vvn	prefixed	prefix	0
a	a	dt	a	a	0
twofold	twofold	j	twofold	twofold	0
e	e	sy	e	e	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
con-teining	con-teining	j	containing	containing	0
certaine	certaine	j	certain	certain	0
reasons	reasons	n2	reasons	reason	0
to	to	pc-acp	to	to	0
prove	prove	vvi	prove	prove	0
all	all	d	all	all	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
World	World	n1	World	world	0
habitable	habitable	j	habitable	habitable	0
.	.	.	.	.	1
Penned	Penned	j-vvn	Penned	pen	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
George	George	np1	George	George	0
Best	Best	av-js	Best	best	0
,	,	,	,	,	0
a	a	dt	a	a	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
employed	employed	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
voyages	voyages	n2	voyages	voyage	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
commodities	commodities	n2	commodities	commodity	0
and	and	cc	and	and	0
instructions	instructions	n2	instructions	instruction	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
reaped	reaped	vvn	reaped	reap	0
by	by	p-acp	by	by	0
diligent	diligent	j	diligent	diligent	0
reading	reading	vvg	reading	read	0
this	this	d	this	this	0
Discourse	Discourse	n1	Discourse	discourse	0
.	.	.	.	.	1
i	i	sy	i	i	0
TTUrst	TTUrst	vv2	TTUrst	tturst	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
example	example	n1	example	example	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
gathered	gathered	vvn	gathered	gather	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
a	a	dt	a	a	0
Dis-J	Dis-J	j	Dis-J	dis-j	0
?	?	?	?	?	0
coverer	coverer	n1	coverer	coverer	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
Countries	Countries	n2	Countries	country	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
proceede	proceede	vvi	proceed	proceed	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
first	first	ord	first	first	0
attempt	attempt	n1	attempt	attempt	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
Discoverie	Discoverie	n1	Discovery	discovery	0
.	.	.	.	.	1
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
of	of	pp-f	of	of	0
shipping	shipping	vvg	shipping	ship	0
,	,	,	,	,	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
munition	munition	n1	munition	munition	0
,	,	,	,	,	0
and	and	cc	and	and	0
choice	choice	n1	choice	choice	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
.	.	.	.	.	1
3	3	crd	3	3	0
How	How	q-crq	How	how	0
to	to	p-acp	to	to	0
proceede	proceede	vvi	proceed	proceed	0
and	and	cc	and	and	0
deale	deale	vvi	deal	deal	0
with	with	p-acp	with	with	0
strange	strange	j	strange	strange	0
people	people	n1	people	people	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
never	never	av-x	never	never	0
so	so	av	so	so	0
barbarous	barbarous	j	barbarous	barbarous	0
,	,	,	,	,	0
cruell	cruell	j	cruel	cruel	0
and	and	cc	and	and	0
fierce	fierce	j	fierce	fierce	0
,	,	,	,	,	0
either	either	av-d	either	either	0
by	by	p-acp	by	by	0
lenitie	lenitie	n1	lenity	lenity	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
.	.	.	.	.	1
4	4	crd	4	4	0
How	How	c-crq	How	how	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
Merchandize	Merchandize	n1	Merchandise	merchandise	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
without	without	p-acp	without	without	0
money	money	n1	money	money	0
.	.	.	.	.	1
5	5	crd	5	5	0
How	How	c-crq	How	how	0
a	a	dt	a	a	0
Pilot	Pilot	n1	Pilot	pilot	0
may	may	vmb	may	may	0
deale	deale	vvi	deal	deal	0
,	,	,	,	,	0
bqing	bqing	vbg	bqing	bq	0
invironed	invironed	vvn	environed	environ	0
with	with	p-acp	with	with	0
moun-taines	moun-taines	j	mountains	mountains	0
of	of	pp-f	of	of	0
yce	yce	n1	ice	ice	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
frozen	frozen	j-vvn	frozen	freeze	0
Sea.	Sea.	n1	Sea.	sea	1
25°	25°	n1	25°	25°	0
6	6	crd	6	6	0
How	How	np1	How	How	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
change	change	n1	change	change	0
of	of	pp-f	of	of	0
seasons	seasons	n2	seasons	season	0
,	,	,	,	,	0
Summers	Summers	n2	Summer's	summer	0
and	and	cc	and	and	0
Winters	Winters	n2	Winter's	winter	0
doe	doe	vdb	do	do	0
differ	differ	vvi	differ	differ	0
in	in	p-acp	in	in	0
'	'	'	'	'	0
sundry	sundry	j	sundry	sundry	0
regions	regions	n2	regions	region	0
.	.	.	.	.	1
7	7	crd	7	7	0
How	How	c-crq	How	how	0
dangerous	dangerous	j	dangerous	dangerous	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
attempt	attempt	vvi	attempt	attempt	0
new	new	j	new	new	0
Discoveries	Discoveries	n2	Discoveries	discovery	0
,	,	,	,	,	0
either	either	av-d	either	either	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
ignorance	ignorance	n1	ignorance	ignorance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
language	language	n1	language	language	0
,	,	,	,	,	0
the	the	dt	the	the	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Interpreters	Interpreters	n2	Interpreters	interpreter	0
,	,	,	,	,	0
new	new	j	new	new	0
and	and	cc	and	and	0
unaccustomed	unaccustomed	j	unaccustomed	unaccustomed	0
Elements	Elements	n2	Elements	element	0
and	and	cc	and	and	0
ayres	ayres	n2	airs	air	0
,	,	,	,	,	0
strange	strange	j	strange	strange	0
and	and	cc	and	and	0
unsavoury	unsavoury	j	unsavoury	unsavoury	0
meates	meates	n2	meats	meat	0
,	,	,	,	,	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
theeves	theeves	n2	thieves	thief	0
and	and	cc	and	and	0
robbers	robbers	n2	robbers	robber	0
,	,	,	,	,	0
fiercenesse	fiercenesse	n1	fierceness	fierceness	0
of	of	pp-f	of	of	0
wilde	wilde	j	wild	wild	0
beastes	beastes	n2	beasts	beast	0
and	and	cc	and	and	0
fishes	fishes	n2	fish	fish	0
,	,	,	,	,	0
hugenesse	hugenesse	n1	hugeness	hugeness	0
of	of	pp-f	of	of	0
woods	woods	n2	woods	wood	0
,	,	,	,	,	0
dangerous-nesse	dangerous-nesse	j	dangerousness	dangerousness	0
of	of	pp-f	of	of	0
Seas	Seas	n2	Seas	sea	0
,	,	,	,	,	0
dread	dread	j	dread	dread	0
of	of	pp-f	of	of	0
tempestes	tempestes	n2	tempests	tempest	0
,	,	,	,	,	0
feare	feare	n1	fear	fear	0
of	of	pp-f	of	of	0
hidden	hidden	j-vvn	hidden	hide	0
rockes	rockes	n2	rocks	rock	0
