serve	serve	vvb	serve	serve	0
better	better	av-jc	better	better	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
lesse	lesse	dc	less	less	0
charge	charge	n1	charge	charge	0
then	then	cs	then	than	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
Rye	Rye	n1	Rye	rye	0
or	or	cc	or	or	0
Dorpt	Dorpt	vvn	Dorpt	dorpt	0
,	,	,	,	,	0
or	or	cc	or	or	0
Revel	Revel	vvi	Revel	revel	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
smal	smal	j	small	small	0
adventure	adventure	n1	adventure	adventure	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
their	their	po32	their	their	0
clothes	clothes	n2	clothes	clothes	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Flanders	Flanders	np1	Flanders	Flanders	0
to	to	p-acp	to	to	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
places	places	n2	places	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
charge	charge	n1	charge	charge	0
not	not	xx	not	not	0
litle	litle	j	little	little	0
to	to	pc-acp	to	to	0
cary	cary	vvi	carry	carry	0
them	them	pno32	them	they	0
over	over	p-acp	over	over	0
lande	lande	n1	land	land	0
to	to	p-acp	to	to	0
Novo-grode	Novo-grode	j	Novogrode	novogrode	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
from	from	p-acp	from	from	0
Rye	Rye	n1	Rye	rye	0
nine	nine	crd	nine	nine	0
hundred	hundred	crd	hundred	hundred	0
Russian	Russian	jp	Russian	russian	0
miles	miles	n2	miles	mile	0
.	.	.	.	.	1
[	[	[	[	[	0
I.	I.	np1	I.	I.	0
258.	258.	crd	258.	258.	0
]	]	]	]	]	1
This	This	np1	This	This	0
Novogrode	Novogrode	av	Novogrode	novogrode	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
place	place	n1	place	place	0
wel	wel	av	well	well	0
furnished	furnished	vvn	furnished	furnish	0
with	with	p-acp	with	with	0
flaxe	flaxe	n1	flax	flax	0
,	,	,	,	,	0
Waxe	Waxe	vvb	Wax	wax	0
,	,	,	,	,	0
Hides	Hides	vvz	Hides	hide	0
,	,	,	,	,	0
tallow	tallow	n1	tallow	tallow	0
and	and	cc	and	and	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
:	:	:	:	:	0
the	the	dt	the	the	0
best	best	js	best	best	0
flaxe	flaxe	n1	flax	flax	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
is	is	vbz	is	be	0
brought	brought	vvn	brought	bring	0
thither	thither	av	thither	thither	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
sold	sold	vvn	sold	sell	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
hundred	hundred	crd	hundred	hundred	0
bundles	bundles	n2	bundles	bundle	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
done	done	vdn	done	do	0
also	also	av	also	also	0
at	at	p-acp	at	at	0
Vologda	Vologda	np1	Vologda	Vologda	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
that	that	cst	that	that	0
bring	bring	vvb	bring	bring	0
the	the	dt	the	the	0
