A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
relation	relation	n1	relation	relation	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
and	and	cc	and	and	0
provinces	provinces	n2	provinces	province	0
of	of	pp-f	of	of	0
Tombuto	Tombuto	np1	Tombuto	Tombuto	0
and	and	cc	and	and	0
Gago	Gago	np1	Gago	Gago	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
Marocco	Marocco	np1	Marocco	Morocco	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
1594	1594	crd	1594	1594	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Anthony	Anthony	np1	Anthony	Anthony	0
Dassel	Dassel	np1	Dassel	Dassel	0
marchant	marchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Y	Y	zz	Y	y	0
hearty	hearty	j	hearty	hearty	0
commendations	commendations	n2	commendations	commendation	0
premised	premised	vvn	premised	premise	0
:	:	:	:	:	0
your	your	po22	your	your	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
I	I	pns11	I	i	0
received	received	vvd	received	receive	0
,	,	,	,	,	0
and	and	cc	and	and	0
found	found	vvd	found	find	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
me	me	pno11	me	i	0
discover	discover	vvi	discover	discover	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
estate	estate	n1	estate	estate	0
&	&	cc	&	and	0
quality	quality	n1	quality	quality	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countreyes	countreyes	n2	countries	country	0
of	of	pp-f	of	of	0
Tombuto	Tombuto	np1	Tombuto	Tombuto	0
and	and	cc	and	and	0
Gago	Gago	np1	Gago	Gago	0
.	.	.	.	.	1
And	And	cc	And	and	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
thinke	thinke	vvi	think	think	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
slumber	slumber	vvi	slumber	slumber	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
action	action	n1	actium	action	0
,	,	,	,	,	0
wherin	wherin	c-crq	wherein	wherein	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
be	be	vbi	be	be	0
truely	truely	av-j	truly	true	0
and	and	cc	and	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
perfectly	perfectly	av-j	perfectly	perfect	0
resolved	resolved	vvn	resolved	resolve	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
not	not	xx	not	not	0
ten	ten	crd	ten	ten	0
dayes	dayes	n2	days	day	0
past	past	vvn	passed	pass	0
here	here	av	here	here	0
came	came	vvd	came	come	0
a	a	dt	a	a	0
Cahaia	Cahaia	np1	Cahaia	Cahaia	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Andoluzes	Andoluzes	n2	Andoluzes	andoluze	0
home	home	av-an	home	home	0
from	from	p-acp	from	from	0
Gago	Gago	np1	Gago	Gago	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
principali	principali	fw-la	principali	principali	0
Moore	Moore	np1	Moore	Moore	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
the	the	dt	the	the	0
king	king	n1	king	king	0
sent	sent	vvd	sent	send	0
thither	thither	av	thither	thither	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
with	with	p-acp	with	with	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Hamode	Hamode	np1	Hamode	Hamode	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
brought	brought	vvd	brought	bring	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
thirty	thirty	crd	thirty	thirty	0
mules	mules	n2	mules	mule	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
gold	gold	n1	gold	gold	0
.	.	.	.	.	1
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
the	the	dt	the	the	0
same	same	d	same	same	0
come	come	vvb	come	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Alcasava	Alcasava	np1	Alcasava	Alcasava	0
with	with	p-acp	with	with	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
eies	eies	n2	eyes	eye	0
:	:	:	:	:	0
and	and	cc	and	and	0
these	these	d	these	these	0
men	men	n2	men	man	0
themselves	themselves	px32	themselves	themselves	0
came	came	vvd	came	come	0
not	not	xx	not	not	0
poore	poore	j	poor	poor	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
wealth	wealth	n1	wealth	wealth	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
away	away	av	away	away	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
commandement	commandement	n1	commandment	commandment	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
cause	cause	n1	cause	cause	0
the	the	dt	the	the	0
king	king	n1	king	king	0
will	will	vmb	will	will	0
pay	pay	vvi	pay	pay	0
them	them	pno32	them	they	0
no	no	dx	no	no	0
wages	wages	n2	wages	wage	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
time	time	n1	time	time	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
On	On	p-acp	On	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
they	they	pns32	they	they	0
dare	dare	vvb	dare	dare	0
not	not	xx	not	not	0
aske	aske	vvi	ask	ask	0
the	the	dt	the	the	0
king	king	n1	king	king	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
wages	wages	n2	wages	wage	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Hamode	Hamode	np1	Hamode	Hamode	0
saw	saw	vvd	saw	see	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Cahaia	Cahaia	np1	Cahaia	Cahaia	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Andoluzes	Andoluzes	n2	Andoluzes	andoluze	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
stay	stay	vvi	stay	stay	0
in	in	p-acp	in	in	0
Gago	Gago	np1	Gago	Gago	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
he	he	pns31	he	he	0
thought	thought	vvd	thought	think	0
99	99	crd	99	99	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
these	these	d	these	these	0
thirty	thirty	crd	thirty	thirty	0
mules	mules	n2	mules	mule	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
golde	golde	n1	gold	gold	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
commendations	commendations	n2	commendations	commendation	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
king	king	n1	king	king	0
smelled	smelled	vvd	smelled	smell	0
their	their	po32	their	their	0
riches	riches	n2	riches	riches	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
brought	brought	vvd	brought	bring	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
displeasure	displeasure	n1	displeasure	displeasure	0
towards	towards	p-acp	towards	towards	0
them	them	pno32	them	they	0
.	.	.	.	.	1
So	So	av	So	so	0
now	now	av	now	now	0
there	there	a-acp	there	there	0
remaineth	remaineth	vvz	remains	remain	0
in	in	p-acp	in	in	0
Gago	Gago	np1	Gago	Gago	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Hamode	Hamode	np1	Hamode	Hamode	0
,	,	,	,	,	0
and	and	cc	and	and	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Jawdara	Jawdara	np1	Jawdara	Jawdara	0
,	,	,	,	,	0
and	and	cc	and	and	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Bucthare	Bucthare	n1	Bucthare	bucthare	0
.	.	.	.	.	1
And	And	cc	And	and	0
here	here	av	here	here	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
readinesse	readinesse	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
next	next	ord	next	next	0
September	September	np1	September	September	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Monsor	Monsor	n1	Monsor	monsor	0
,	,	,	,	,	0
Ben	Ben	fw-mi	Ben	ben	0
Abdrahaman	Abdrahaman	fw-mi	Abdrahaman	abdrahaman	0
Allies	Allies	n2	Allies	ally	0
,	,	,	,	,	0
Monsor	Monsor	n1	Monsor	monsor	0
Rico	Rico	np1	Rico	Rico	0
with	with	p-acp	with	with	0
five	five	crd	five	five	0
thousand	thousand	crd	thousand	thousand	0
men	men	n2	men	man	0
,	,	,	,	,	0
most	most	ds	most	most	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fettilase	fettilase	n1	fettilase	fettilase	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
fier-mach	fier-mach	j	fier-mach	fier-mach	0
,	,	,	,	,	0
&	&	cc	&	and	0
muskets	muskets	n2	muskets	musket	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
gone	gone	vvn	gone	go	0
good	good	j	good	good	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
reds	reds	n2	reds	red	0
&	&	cc	&	and	0
yellowes	yellowes	n2-jn	yellows	yellow	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
yere	yere	n1	year	year	0
here	here	av	here	here	0
was	was	vbds	was	be	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
commodity	commodity	n1	commodity	commodity	0
;	;	;	;	;	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
trust	trust	vvb	trust	trust	0
the	the	dt	the	the	0
next	next	ord	next	next	0
yere	yere	n1	year	year	0
wil	wil	vmb	will	will	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
want	want	n1	want	want	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
in	in	p-acp	in	in	0
fine	fine	j	fine	fine	0
the	the	dt	the	the	0
king	king	n1	king	king	0
doth	doth	vdz	does	do	0
prosper	prosper	vvi	prosper	prosper	0
wel	wel	av	well	well	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
here	here	av	here	here	0
are	are	vbr	are	be	0
many	many	d	many	many	0
pledges	pledges	n2	pledges	pledge	0
come	come	vvb	come	come	0
hither	hither	av	hither	hither	0
,	,	,	,	,	0
and	and	cc	and	and	0
namely	namely	av	namely	namely	0
three	three	crd	three	three	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
sonnes	sonnes	n2	sons	son	0
of	of	pp-f	of	of	0
Gago	Gago	np1	Gago	Gago	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Justice	Justice	n1	Justice	justice	0
;	;	;	;	;	0
I	I	pns11	I	i	0
saw	saw	vvd	saw	see	0
them	them	pno32	them	they	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
treasure	treasure	n1	treasure	treasure	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
when	when	c-crq	when	when	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Monsor	Monsor	n1	Monsor	monsor	0
commeth	commeth	vvz	comes	come	0
to	to	p-acp	to	to	0
Gago	Gago	np1	Gago	Gago	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
January	January	np1	January	January	0
next	next	ord	next	next	0
,	,	,	,	,	0
then	then	av	then	then	0
returneth	returneth	vvz	returns	return	0
hither	hither	av	hither	hither	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Hamode	Hamode	np1	Hamode	Hamode	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
the	the	dt	the	the	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
Alcaide	Alcaide	np1	Alcaide	Alcaide	0
Monsor	Monsor	n1	Monsor	monsor	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
Gago	Gago	np1	Gago	Gago	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
king	king	n1	king	king	0
take	take	vvb	take	take	0
further	further	jc	further	further	0
order	order	n1	order	order	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
for	for	c-acp	for	for	0
Gago	Gago	np1	Gago	Gago	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
not	not	xx	not	not	0
having	having	vhg	having	have	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
thing	thing	n1	thing	thing	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	j	present	present	0
,	,	,	,	,	0
I	I	pns11	I	i	0
commend	commend	vvb	commend	commend	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mercifull	mercifull	j	merciful	merciful	0
tuition	tuition	n1	tuition	tuition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
almighty	almighty	j-jn	almighty	almighty	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
Marocco	Marocco	np1	Marocco	Morocco	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
1594.	1594.	crd	1594.	1594.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Your	Your	po22	Your	your	0
assured	assured	j-vvn	assured	assure	0
friend	friend	n1	friend	friend	0
Laurence	Laurence	np1	Laurence	Laurence	0
Madoc	Madoc	np1	Madoc	Madoc	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Another	Another	j-jn	Another	another	0
briefe	briefe	j	brief	brief	0
relation	relation	n1	relation	relation	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
late	late	j	late	late	0
conquest	conquest	n1	conquest	conquest	0
and	and	cc	and	and	0
the	the	dt	the	the	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
great	great	j	great	great	0
riches	riches	n2	riches	riches	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
and	and	cc	and	and	0
provinces	provinces	n2	provinces	province	0
of	of	pp-f	of	of	0
