A	A	dt	A	a	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Northeasterne	Northeasterne	j	Northeastern	northeastern	0
Discoverie	Discoverie	n1	Discovery	discovery	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
profite	profite	n1	profit	profit	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
arise	arise	vvi	arise	arise	0
by	by	p-acp	by	by	0
pursuing	pursuing	vvg	pursuing	pursue	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
second	second	ord	second	second	0
volume	volume	n1	volume	volume	0
of	of	pp-f	of	of	0
Navigations	Navigations	n2	Navigations	navigation	0
and	and	cc	and	and	0
Voyages	Voyages	n2	Voyages	voyage	0
,	,	,	,	,	0
fol.	fol.	n1	fol.	folio	0
17.	17.	crd	17.	17.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
notable	notable	j	notable	notable	0
Cosmographer	Cosmographer	n1	Cosmographer	cosmographer	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Baptista	Baptista	np1	Baptista	Baptista	0
Ramusius	Ramusius	np1	Ramusius	Ramusius	0
,	,	,	,	,	0
Secretarie	Secretarie	n1	Secretary	secretary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
State	State	n1	State	state	0
of	of	pp-f	of	of	0
Venice	Venice	np1	Venice	Venice	0
:	:	:	:	:	0
Written	Written	vvn	Written	write	0
in	in	p-acp	in	in	0
Italian	Italian	jp	Italian	italian	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
1557.	1557.	crd	1557.	1557.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
458	458	crd	458	458	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
MOreover	MOreover	av	MOreover	moreover	0
(	(	(	(	(	0
having	having	vhg	having	have	0
before	before	a-acp	before	before	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
particularities	particularities	n2	particularities	particularity	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
excellent	excellent	j	excellent	excellent	0
Map	Map	n1	Map	map	0
of	of	pp-f	of	of	0
Paulus	Paulus	np1	Paulus	Paulus	0
Venetus	Venetus	np1	Venetus	Venetus	0
)	)	)	)	)	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
part	part	n1	part	part	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
North	North	n1	North	north	0
pole	pole	n1	pole	pole	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
every	every	d	every	every	0
writer	writer	n1	writer	writer	0
and	and	cc	and	and	0
Cosmographer	Cosmographer	n1	Cosmographer	cosmographer	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
former	former	j	former	former	0
times	times	n2	times	time	0
hitherto	hitherto	av	hitherto	hitherto	0
,	,	,	,	,	0
have	have	vhb	have	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
doe	doe	vdb	do	do	0
place	place	vvi	place	place	0
the	the	dt	the	the	0
frozen	frozen	j-vvn	frozen	freeze	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
land	land	n1	land	land	0
stretcheth	stretcheth	vvz	stretcheth	stretch	0
continually	continually	av-j	continually	continual	0
to	to	p-acp	to	to	0
90.	90.	crd	90.	90.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
pole	pole	n1	pole	pole	0
:	:	:	:	:	0
contrarywise	contrarywise	av	contrariwise	contrariwise	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
mappe	mappe	n1	map	map	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
land	land	n1	land	land	0
extendeth	extendeth	vvz	extendeth	extend	0
onely	onely	av-j	only	only	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
above	above	p-acp	above	above	0
Norway	Norway	np1	Norway	Norway	0
and	and	cc	and	and	0
Swethland	Swethland	np1	Swethland	Swethland	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
turning	turning	vvg	turning	turn	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
trendeth	trendeth	vvz	trendeth	trend	0
afterwards	afterwards	av	afterwards	afterward	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
East	East	n1	East	east	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
