An	An	dt	And	a	0
Act	Act	n1	Act	act	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
corporation	corporation	n1	corporation	corporation	0
of	of	pp-f	of	of	0
Merchants	Merchants	n2	Merchant's	merchant	0
adventurers	adventurers	n2	adventurers	adventurer	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discovering	discovering	n-vvg	discovering	discover	0
of	of	pp-f	of	of	0
new	new	j	new	new	0
trades	trades	n2	trades	trade	0
,	,	,	,	,	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
Queene	Queene	n1	Queen	queen	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1566.	1566.	crd	1566.	1566.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hereas	Hereas	np1	Hereas	Hereas	0
divers	divers	j	diverse	diverse	0
very	very	av	very	very	0
good	good	j	good	good	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latter	latter	d	latter	latter	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
late	late	j	late	late	0
right	right	j-jn	right	right	0
high	high	j	high	high	0
and	and	cc	and	and	0
mightie	mightie	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
our	our	po12	our	our	0
Soveraigne	Soveraigne	j-jn	Sovereign	sovereign	0
Lord	Lord	n1	Lord	lord	0
king	king	n1	king	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
gracious	gracious	j	gracious	gracious	0
in-couragement	in-couragement	j	encouragement	encouragement	0
,	,	,	,	,	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
good	good	j	good	good	0
liking	liking	n-vvg	liking	like	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
liberali	liberali	fw-la	liberali	liberali	0
example	example	n1	example	example	0
,	,	,	,	,	0
did	did	vdd	did	do	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
adventure	adventure	n1	adventure	adventure	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
great	great	j	great	great	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
honor	honor	n1	honour	honour	0
and	and	cc	and	and	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
revenues	revenues	n2	revenues	revenue	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Crowne	Crowne	n1	Crown	crown	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
common	common	j	common	common	0
utilitie	utilitie	n1	utility	utility	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
set	set	vvd	set	set	0
forth	forth	av	forth	forth	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discovery	discovery	n1	discovery	discovery	0
by	by	p-acp	by	by	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Isles	Isles	n2	Isles	isle	0
,	,	,	,	,	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
territories	territories	n2	territories	territory	0
,	,	,	,	,	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
and	and	cc	and	and	0
Seigniories	Seigniories	n1	Signory	signory	0
unknowen	unknowen	j	unknown	unknown	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
late	late	j	late	late	0
king	king	n1	king	king	0
not	not	xx	not	not	0
commonly	commonly	av-j	commonly	common	0
by	by	p-acp	by	by	0
seas	seas	n2	seas	sea	0
frequented	frequented	vvn	frequented	frequent	0
:	:	:	:	:	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
Almightie	Almightie	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
had	had	vhd	had	have	0
called	called	vvn	called	call	0
to	to	pc-acp	to	to	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
his	his	po31	his	his	0
mercie	mercie	n1	mercy	mercy	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
king	king	n1	king	king	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
died	died	vvd	died	die	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
finishing	finishing	j-vvg	finishing	finish	0
and	and	cc	and	and	0
sealing	sealing	vvg	sealing	seal	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
ample	ample	j	ample	ample	0
and	and	cc	and	and	0
gracious	gracious	j	gracious	gracious	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
priviledges	priviledges	n2	privileges	privilege	0
promised	promised	vvn	promised	promise	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
wel	wel	av	well	well	0
in	in	p-acp	in	in	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
enterprise	enterprise	n1	enterprise	enterprise	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
divers	divers	j	diverse	diverse	0
other	other	n-jn	other	other	0
respects	respects	vvz	respects	respect	0
it	it	pn31	it	it	0
pleased	pleased	vvd	pleased	please	0
our	our	po12	our	our	0
late	late	j	late	late	0
sovereigne	sovereigne	j-jn	sovereign	sovereign	0
Q.	Q.	np1	Q.	Q.	0
Mary	Mary	uh	Marry	mary	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
humble	humble	j	humble	humble	0
suites	suites	n2	suits	suit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
graunt	graunt	vvi	grant	grant	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
letters	letters	n2	letters	letter	0
Patents	Patents	n2	Patents	patent	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
great	great	j	great	great	0
Seale	Seale	n1	Seal	seal	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
bearing	bearing	vvg	bearing	bear	0
date	date	n1	date	date	0
at	at	p-acp	at	at	0
Westminster	Westminster	np1	Westminster	Westminster	0
the	the	dt	the	the	0
26.	26.	crd	26.	26.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
raigne	raigne	n1	reign	reign	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
considerations	considerations	n2	considerations	consideration	0
mentioned	mentioned	vvn	mentioned	mention	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
letters	letters	n2	letters	letter	0
Patents	Patents	n2	Patents	patent	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
subjects	subjects	n2-jn	subject's	subject	0
being	being	vbg	being	be	0
