The	The	dt	The	the	0
booke	booke	n1	book	book	0
made	made	vvd	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipful	worshipful	j	worshipful	worshipful	0
M.	M.	n1	M.	m.	0
Robert	Robert	np1	Robert	Robert	0
Thorne	Thorne	n1	Thorn	thorn	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1527.	1527.	crd	1527.	1527.	0
in	in	p-acp	in	in	0
Sivil	Sivil	np1	Sivil	Sivil	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Doctour	Doctour	n1	Doctor	doctor	0
Ley	Ley	zz	Ley	ley	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
for	for	p-acp	for	for	0
king	king	n1	king	king	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
being	being	vbg	being	be	0
an	an	dt	and	a	0
information	information	n1	information	information	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
discovered	discovered	vvn	discovered	discover	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Portingal	Portingal	n1	Portingal	portingal	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Moluccaes	Moluccaes	n2	Molucca's	molucca	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
North	North	n1	North	north	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Right	Right	av-jn	Right	right	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
reverend	reverend	j-jn	reverend	reverend	0
in	in	p-acp	in	in	0
&c.	&c.	av	etc.	etc	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
procured	procured	vvn	procured	procure	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
servant	servant	n1	servant	servant	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
,	,	,	,	,	0
your	your	po22	your	your	0
Lordship	Lordship	n1	Lordship	lordship	0
wrote	wrote	vvd	wrote	write	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
sicke	sicke	j	sick	sick	0
in	in	p-acp	in	in	0
Merchena	Merchena	np1	Merchena	Merchena	0
.	.	.	.	.	1
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
there	there	a-acp	there	there	0
or	or	cc	or	or	0
els	els	av	else	else	0
where	where	c-crq	where	where	0
heare	heare	n1	hear	hair	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
returned	returned	vvn	returned	return	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
gone	gone	vvn	gone	go	0
to	to	p-acp	to	to	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
,	,	,	,	,	0
and	and	cc	and	and	0
shipt	shipt	vvn	shipped	ship	0
