A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
honorable	honorable	j	honourable	honourable	0
M.	M.	n1	M.	m.	0
Wil.	Wil.	np1	Wil.	Wil.	0
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
her	her	po31	her	her	0
majesties	majesties	n2	majesties	majesty	0
ambass	ambass	vvi	ambass	ambass	0
.	.	.	.	.	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
Signior	Signior	n1	Signior	signior	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Tipton	Tipton	np1	Tipton	Tipton	0
,	,	,	,	,	0
appointing	appointing	vvg	appointing	appoint	0
him	him	pno31	him	he	0
Consul	Consul	n1	Consul	consul	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
in	in	p-acp	in	in	0
Algier	Algier	np1	Algier	Algiers	0
,	,	,	,	,	0
Tunis	Tunis	np1	Tunis	Tunis	0
,	,	,	,	,	0
&	&	cc	&	and	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
of	of	pp-f	of	of	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aster	Aster	a-acp	Aster	after	0
Tipton	Tipton	np1	Tipton	Tipton	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
among	among	p-acp	among	among	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
yours	yours	png22	yours	you	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
10.	10.	crd	10.	10.	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
1584.	1584.	crd	1584.	1584.	0
by	by	p-acp	by	by	0
Soliman	Soliman	np1	Soliman	Soliman	0
Sorda	Sorda	np1	Sorda	Sorda	0
,	,	,	,	,	0
certifying	certifying	vvg	certifying	certify	0
the	the	dt	the	the	0
receipt	receipt	n1	receipt	receipt	0
of	of	pp-f	of	of	0
mine	mine	png11	mine	i	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
24.	24.	crd	24.	24.	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1584.	1584.	crd	1584.	1584.	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
3.	3.	crd	3.	3.	0
commandements	commandements	n2	commandments	commandment	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
