Master	Master	n1	Master	master	0
Davis	Davis	np1	Davis	Davis	0
being	being	vbg	being	be	0
arrived	arrived	vvn	arrived	arrive	0
,	,	,	,	,	0
wrote	wrote	vvd	wrote	write	0
his	his	po31	his	his	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
Sanderson	Sanderson	np1	Sanderson	Sanderson	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
his	his	po31	his	his	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
folioweth	folioweth	vvz	folioweth	foliow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ir	Ir	zz	Ir	ir	0
,	,	,	,	,	0
the	the	dt	the	the	0
Sunneshine	Sunneshine	n1	Sunshine	sunshine	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
Dartmouth	Dartmouth	np1	Dartmouth	Dartmouth	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
moneth	moneth	n1	month	month	0
:	:	:	:	:	0
she	she	pns31	she	she	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
at	at	p-acp	at	at	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Greenland	Greenland	np1	Greenland	Greenland	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
Estotiland	Estotiland	np1	Estotiland	Estotiland	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Desolation	Desolation	n1	Desolation	desolation	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Marchants	Marchants	n2	Merchants	merchant	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
she	she	pns31	she	she	0
made	made	vvd	made	make	0
trade	trade	n1	trade	trade	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
staying	staying	vvg	staying	stay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
twentie	twentie	crd	twentie	twenty	0
dayes	dayes	n2	days	day	0
.	.	.	.	.	1
They	They	pns32	They	they	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
have	have	vhb	have	have	0
brought	brought	vvn	brought	bring	0
home	home	av-an	home	home	0
five	five	crd	five	five	0
hundred	hundred	crd	hundred	hundred	0
seale	seale	n1	seal	seal	0
skinnes	skinnes	n2	skins	skin	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
and	and	cc	and	and	0
fortie	fortie	crd	fortie	forty	0
halfe	halfe	j-jn	half	half	0
skinnes	skinnes	n2	skins	skin	0
and	and	cc	and	and	0
pieces	pieces	n2	pieces	piece	0
of	of	pp-f	of	of	0
skinnes	skinnes	n2	skins	skin	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
doubt	doubt	n1	doubt	doubt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
pinnesse	pinnesse	n1	pinnace	pinnace	0
,	,	,	,	,	0
God	God	np1	God	God	0
be	be	vbb	be	be	0
mercifull	mercifull	j	merciful	merciful	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
407	407	crd	407	407	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
preserve	preserve	vvi	preserve	preserve	0
them	them	pno32	them	they	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
blessed	blessed	j-vvn	blessed	bless	0
will	will	n1	will	will	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
now	now	av	now	now	0
experience	experience	n1	experience	experience	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
Northwest	Northwest	av-an	Northwest	northwest	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
