Hunc	Hunc	fw-la	Hunc	hunc	0
ego	ego	fw-la	ego	ego	0
sic	sic	fw-la	sic	sic	0
imitor	imitor	n1	imitor	imitor	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Haffniae	Haffniae	np2	Haffniae	haffniae	0
1593.	1593.	crd	1593.	1593.	1
Mense	Mense	np1	Mense	Mense	0
Mart.	Mart.	np1	Mart.	Mart.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Gudbrandus	Gudbrandus	np1	Gudbrandus	Gudbrandus	0
Thorliacus	Thorliacus	np1	Thorliacus	Thorliacus	0
Episcopus	Episcopus	np1	Episcopus	Episcopus	0
Holensis	Holensis	np1	Holensis	Holensis	0
in	in	p-acp	in	in	0
Islandia	Islandia	np1	Islandia	Islandia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Authoris	Authoris	fw-la	Authoris	authoris	0
ad	ad	fw-la	ad	ad	0
Lectorem	Lectorem	fw-la	Lectorem	lectorem	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
COMMENTARII	COMMENTARII	fw-la	COMMENTARII	commentarii	0
DE	DE	fw-fr	DE	de	0
ISLANDIA	ISLANDIA	np1	ISLANDIA	ISLANDIA	0
INITIUM	INITIUM	np1	INITIUM	INITIUM	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
Sectio	Sectio	fw-la	Sectio	sectio	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Munsterus	Munsterus	npg1	Munsterus	munsterus	0
Islandiam	Islandiam	fw-la	Islandiam	islandiam	0
collocat	collocat	fw-la	collocat	collocat	0
sub	sub	fw-la	sub	sub	0
Longit	Longit	fw-la	Longit	longit	0
.	.	.	.	.	1
Latitud	Latitud	n1	Latitude	latitude	0
.	.	.	.	.	1
68.	68.	crd	68.	68	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Hersee	Hersee	vvi	Hersee	hersee	0
:	:	:	:	:	0
7.	7.	crd	7.	7.	0
40	40	crd	40	40	0
60.	60.	crd	60.	60.	0
42	42	crd	42	42	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thirtes	Thirtes	n2	Thirtes	thirte	0
:	:	:	:	:	0
5.	5.	crd	5.	5.	0
50	50	crd	50	50	0
64.	64.	crd	64.	64.	0
44	44	crd	44	44	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Nadar	Nadar	np1	Nadar	Nadar	0
:	:	:	:	:	0
6.	6.	crd	6.	6.	0
40	40	crd	40	40	0
57	57	crd	57	57	0
-	-	-	-	-	0
20	20	crd	20	20	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Madher	Madher	av-c	Madher	madher	0
promontorium	promontorium	fw-la	promontorium	promontorium	0
21.	21.	crd	21.	21.	0
20	20	crd	20	20	0
65.	65.	crd	65.	65.	0
10	10	crd	10	10	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Civitates	Civitates	vvz	Civitates	civitate	0
in	in	p-acp	in	in	0
ea	ea	fw-la	ea	ea	0
mediterraneae	mediterraneae	fw-la	mediterraneae	mediterraneae	0
sunt	sunt	fw-la	sunt	sunt	0
Holen	Holen	fw-ge	Holen	holen	0
Episcopalis	Episcopalis	np1	Episcopalis	Episcopalis	0
28.	28.	crd	28.	28.	0
67.	67.	crd	67.	67.	1
5°	5°	n1	5°	5°	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
SECTIO	SECTIO	fw-la	SECTIO	sectio	0
SECUNDA	SECUNDA	np1	SECUNDA	SECUNDA	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Et	Et	fw-la	Et	et	0
penitus	penitus	fw-la	penitus	penitus	0
toto	toto	fw-la	toto	toto	0
divisos	divisos	fw-la	divisos	divisos	0
orbe	orbe	fw-la	orbe	orbe	0
Britannos	Britannos	fw-la	Britannos	britannos	0
.	.	.	.	.	1
Quartus	Quartus	np1	Quartus	Quartus	0
unam	unam	fw-la	unam	unam	0
ex	ex	fw-la	ex	ex	0
