A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
extract	extract	n1	extract	extract	0
specifying	specifying	vvg	specifying	specify	0
the	the	dt	the	the	0
certaine	certaine	j	certain	certain	0
dayly	dayly	j	daily	daily	0
pai-ments	pai-ments	j	payments	payments	0
,	,	,	,	,	0
answered	answered	vvd	answered	answer	0
quarterly	quarterly	av-j	quarterly	quarterly	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
peace	peace	n1	peace	peace	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Treasurie	Treasurie	n1	Treasury	treasury	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Officers	Officers	n2	Officers	officer	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Seraglio	Seraglio	n1	Seraglio	seraglio	0
or	or	cc	or	or	0
Court	Court	n1	Court	court	0
,	,	,	,	,	0
successively	successively	av-j	successively	successive	0
in	in	p-acp	in	in	0
degrees	degrees	n2	degrees	degree	0
:	:	:	:	:	0
collected	collected	vvn	collected	collect	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
yeerely	yeerely	j	yearly	yearly	0
totali	totali	fw-la	totali	totali	0
summe	summe	n1	sum	sum	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Or	Or	cc	Or	or	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
diet	diet	n1	diet	diet	0
every	every	d	every	every	0
day	day	n1	day	day	0
,	,	,	,	,	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
and	and	cc	and	and	0
one	one	crd	one	one	0
aspers	aspers	n2	aspers	asper	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
former	former	j	former	former	0
custome	custome	n1	custom	custom	0
received	received	vvn	received	receive	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
auncestors	auncestors	n2	ancestors	ancestor	0
:	:	:	:	:	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
that	that	cst	that	that	0
otherwise	otherwise	av	otherwise	otherwise	0
his	his	po31	his	his	0
diur-nall	diur-nall	j	diurnal	diurnal	0
expence	expence	n1	expense	expense	0
is	is	vbz	is	be	0
very	very	av	very	very	0
much	much	av-d	much	much	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
certainly	certainly	av-j	certainly	certain	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
summe	summe	n1	sum	sum	0
maketh	maketh	vvz	makes	make	0
sterling	sterling	j-jn	sterling	sterling	0
money	money	n1	money	money	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
,	,	,	,	,	0
two	two	crd	two	two	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
one	one	crd	one	one	0
hundred	hundred	crd	hundred	hundred	0
,	,	,	,	,	0
92.	92.	crd	92.	92.	0
pounds	pounds	n2	pounds	pound	0
,	,	,	,	,	0
three	three	crd	three	three	0
shillings	shillings	n2	shillings	shilling	0
,	,	,	,	,	0
eight	eight	crd	eight	eight	0
pence	pence	n2	pence	penny	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
five	five	crd	five	five	0
and	and	cc	and	and	0
fourtie	fourtie	crd	fourtie	fourty	0
thousand	thousand	crd	thousand	thousand	0
Janizaries	Janizaries	n2	Janizaries	janissary	0
dispersed	dispersed	vvn	dispersed	disperse	0
in	in	p-acp	in	in	0
sundry	sundry	j	sundry	sundry	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
sixe	sixe	crd	sixe	six	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
amounteth	amounteth	vvz	amounteth	amount	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
to	to	p-acp	to	to	0
five	five	crd	five	five	0
hundreth	hundreth	ord	hundreth	hundred	0
,	,	,	,	,	0
fourescore	fourescore	crd	fourescore	fourscore	0
and	and	cc	and	and	0
eleven	eleven	crd	eleven	eleven	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
and	and	cc	and	and	0
three	three	crd	three	three	0
hundreth	hundreth	ord	hundreth	hundred	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Azamoglans	Azamoglans	np2	Azamoglans	azamoglan	0
,	,	,	,	,	0
tribute	tribute	n1	tribute	tribute	0
children	children	n2	children	child	0
,	,	,	,	,	0
farre	farre	av-j	far	far	0
surmount	surmount	vvb	surmount	surmount	0
that	that	d	that	that	0
number	number	n1	number	number	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
collected	collected	vvn	collected	collect	0
from	from	p-acp	from	from	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Christians	Christians	njpg2	Christians	christian	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whom	whom	ro-crq	whom	who	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
yeeres	yeeres	n2	years	year	0
of	of	pp-f	of	of	0
sixe	sixe	crd	sixe	six	0
and	and	cc	and	and	0
twelve	twelve	crd	twelve	twelve	0
,	,	,	,	,	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
pulled	pulled	vvn	pulled	pull	0
away	away	av	away	away	0
yeerely	yeerely	av-j	yearly	yearly	0
perforce	perforce	av	perforce	perforce	0
:	:	:	:	:	0
whereof	whereof	c-crq	whereof	whereof	0
I	I	pns11	I	i	0
suppose	suppose	vvb	suppose	suppose	0
those	those	d	those	those	0
in	in	p-acp	in	in	0
service	service	n1	service	service	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
equall	equall	j-jn	equal	equal	0
in	in	p-acp	in	in	0
number	number	n1	number	number	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Janizaries	Janizaries	n2	Janizaries	janissary	0
abovesaid	abovesaid	j	abovesaid	abovesaid	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
three	three	crd	three	three	0
aspers	aspers	n2	aspers	asper	0
a	a	dt	a	a	0
day	day	n1	day	day	0
,	,	,	,	,	0
one	one	pi	one	one	0
with	with	p-acp	with	with	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
two	two	crd	two	two	0
hundred	hundred	crd	hundred	hundred	0
fourescore	fourescore	crd	fourescore	fourscore	0
and	and	cc	and	and	0
fifteene	fifteene	crd	fifteene	fifteen	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
sixe	sixe	crd	sixe	six	0
hundred	hundred	crd	hundred	hundred	0
and	and	cc	and	and	0
fiftie	fiftie	crd	fiftie	fifty	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
five	five	crd	five	five	0
Bassas	Bassas	n2	Bassas	bassa	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
the	the	dt	the	the	0
Viceroy	Viceroy	n1	Viceroy	viceroy	0
is	is	vbz	is	be	0
supreme	supreme	j	supreme	supreme	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
their	their	po32	their	their	0
yerely	yerely	j	yearly	yearly	0
revenues	revenues	n2	revenues	revenue	0
,	,	,	,	,	0
amounteth	amounteth	vvz	amounteth	amount	0
sterling	sterling	j-jn	sterling	sterling	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
to	to	p-acp	to	to	0
ten	ten	crd	ten	ten	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
nine	nine	crd	nine	nine	0
hundred	hundred	crd	hundred	hundred	0
and	and	cc	and	and	0
fiftie	fiftie	crd	fiftie	fifty	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
five	five	crd	five	five	0
Beglerbegs	Beglerbegs	n2	Beglerbegs	beglerbeg	0
,	,	,	,	,	0
chiefe	chiefe	j-jn	chief	chief	0
presidents	presidents	n2	presidents	president	0
of	of	pp-f	of	of	0
Greece	Greece	np1	Greece	Greece	0
,	,	,	,	,	0
Hungary	Hungary	np1	Hungary	Hungary	0
and	and	cc	and	and	0
Sclavonia	Sclavonia	np1	Sclavonia	Sclavonia	0
,	,	,	,	,	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
Europe	Europe	np1	Europe	Europe	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Natolia	Natolia	np1	Natolia	Anatolia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Caramania	Caramania	np1	Caramania	Caramania	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
one	one	crd	one	one	0
thousande	thousande	crd	thousande	thousand	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
eighteene	eighteene	crd	eighteene	eighteen	0
other	other	j-jn	other	other	0
go	go	vvb	go	go	0
verno	verno	fw-la	verno	verno	0
urs	urs	n2	urs	ur	0
of	of	pp-f	of	of	0
Provinces	Provinces	n2	Provinces	province	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
five	five	crd	five	five	0
hundred	hundred	crd	hundred	hundred	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
amounteth	amounteth	vvz	amounteth	amount	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
thirtie	thirtie	crd	thirtie	thirty	0
thousand	thousand	crd	thousand	thousand	0
sixe	sixe	crd	sixe	six	0
hundred	hundred	crd	hundred	hundred	0
,	,	,	,	,	0
and	and	cc	and	and	0
threescore	threescore	crd	threescore	threescore	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Bassa	Bassa	n1	Bassa	bassa	0
,	,	,	,	,	0
Admirall	Admirall	n1	Admiral	admiral	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
two	two	crd	two	two	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
one	one	crd	one	one	0
hundred	hundred	crd	hundred	hundred	0
,	,	,	,	,	0
foure	foure	crd	foure	four	0
score	score	n1	score	score	0
and	and	cc	and	and	0
ten	ten	crd	ten	ten	0
thousand	thousand	crd	thousand	thousand	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Aga	Aga	n1	Agam	aga	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Janizaries	Janizaries	n2	Janizaries	janissary	0
,	,	,	,	,	0
general	general	n1	general	general	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
footemen	footemen	n2	footmen	footman	0
,	,	,	,	,	0
five	five	crd	five	five	0
hundred	hundred	crd	hundred	hundred	0
aspers	aspers	n2	aspers	asper	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
maketh	maketh	vv2	makes	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
in	in	p-acp	in	in	0
sterling	sterling	j-jn	sterling	sterling	0
money	money	n1	money	money	0
,	,	,	,	,	0
one	one	crd	one	one	0
thousand	thousand	crd	thousand	thousand	0
,	,	,	,	,	0
fourescore	fourescore	crd	fourescore	fourscore	0
and	and	cc	and	and	0
fifteene	fifteene	crd	fifteene	fifteen	0
pounds	pounds	n2	pounds	pound	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
