A	A	dt	A	a	0
commandement	commandement	n1	commandment	commandment	0
to	to	p-acp	to	to	0
Patrasso	Patrasso	np1	Patrasso	Patrasso	0
in	in	p-acp	in	in	0
Morea	Morea	np1	Morea	Morea	0
.	.	.	.	.	1
WHen	WHen	c-crq	WHen	when	0
this	this	d	this	this	0
commandement	commandement	n1	commandment	commandment	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Consuli	Consuli	fw-la	Consuli	consuli	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Nation	Nation	n1	Nation	nation	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
Patrasso	Patrasso	np1	Patrasso	Patrasso	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
given	given	vvn	given	give	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
formerly	formerly	av-j	formerly	former	0
we	we	pns12	we	we	0
granted	granted	vvd	granted	grant	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
commandement	commandement	n1	commandment	commandment	0
that	that	cst	that	that	0
having	having	vhg	having	have	0
paied	paied	vvn	paid	pay	0
once	once	a-acp	once	once	0
custome	custome	n1	custom	custom	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
currants	currants	n2	currants	currant	0
bought	bought	vvd	bought	buy	0
to	to	pc-acp	to	to	0
lade	lade	vvi	lade	lade	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
pay	pay	vvi	pay	pay	0
it	it	pn31	it	it	0
againe	againe	av	again	again	0
:	:	:	:	:	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
bringing	bringing	vvg	bringing	bring	0
it	it	pn31	it	it	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
Petrasso	Petrasso	np1	Petrasso	Petrasso	0
,	,	,	,	,	0
informing	informing	vvg	informing	inform	0
thereof	thereof	av	thereof	thereof	0
Mahomet	Mahomet	np1	Mahomet	Mahomet	0
the	the	dt	the	the	0
Nadir	Nadir	np1	Nadir	Nadir	0
of	of	pp-f	of	of	0
Lepanto	Lepanto	np1	Lepanto	Lepanto	0
,	,	,	,	,	0
he	he	pns31	he	he	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
thereof	thereof	av	thereof	thereof	0
and	and	cc	and	and	0
former	former	j	former	former	0
order	order	n1	order	order	0
,	,	,	,	,	0
doth	doth	vdz	does	do	0
againe	againe	av	again	again	0
take	take	vvi	take	take	0
another	another	j-jn	another	another	0
custome	custome	n1	custom	custom	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
requiring	requiring	vvg	requiring	require	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
why	why	c-crq	why	why	0
he	he	pns31	he	he	0
so	so	av	so	so	0
did	did	vdd	did	do	0
contrary	contrary	vvi	contrary	contrary	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
he	he	pns31	he	he	0
answered	answered	vvd	answered	answer	0
us	us	pno12	us	we	0
,	,	,	,	,	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
it	it	pn31	it	it	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
custome	custome	n1	custom	custom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
present	present	j	present	present	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Consuli	Consuli	np1	Consuli	Consuli	0
certified	certified	vvn	certified	certify	0
us	us	pno12	us	we	0
how	how	c-crq	how	how	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Nadir	Nadir	np1	Nadir	Nadir	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
ancient	ancient	j	ancient	ancient	0
custome	custome	n1	custom	custom	0
doth	doth	vdz	does	do	0
not	not	xx	not	not	0
take	take	vvi	take	take	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
right	right	j-jn	right	right	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
ought	ought	vmd	ought	ought	0
currents	currents	n2	currents	current	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
285	285	crd	285	285	0
poore	poore	j	poor	poor	0
men	men	n2	men	man	0
money	money	n1	money	money	0
at	at	p-acp	at	at	0
his	his	po31	his	his	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
therewith	therewith	av	therewith	therewith	0
buyeth	buyeth	vvz	buyeth	buy	0
currents	currents	n2	currents	current	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
very	very	j	very	very	0
low	low	j	low	low	0
price	price	n1	price	price	0
