A	A	dt	A	a	0
note	note	n1	note	note	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
presents	presents	n2	presents	present	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
given	given	vvn	given	give	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
presenters	presenters	n2	presenters	presenter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
First	First	ord	First	first	0
the	the	dt	the	the	0
Basha	Basha	n1	Basham	bassa	0
of	of	pp-f	of	of	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Viceroy	Viceroy	n1	Viceroy	viceroy	0
,	,	,	,	,	0
presented	presented	vvd	presented	present	0
100.	100.	crd	100.	100	0
garments	garments	n2	garments	garment	0
of	of	pp-f	of	of	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
25.	25.	crd	25.	25.	0
horses	horses	n2	horses	horse	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Basha	Basha	n1	Basham	bassa	0
of	of	pp-f	of	of	0
Damasco	Damasco	np1	Damasco	Damascus	0
,	,	,	,	,	0
presented	presented	vvd	presented	present	0
100.	100.	crd	100.	100	0
garments	garments	n2	garments	garment	0
of	of	pp-f	of	of	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
twentie	twentie	crd	twentie	twenty	0
horses	horses	n2	horses	horse	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
divers	divers	j	diverse	diverse	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
comfits	comfits	n2	comfits	comfit	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
quantitie	quantitie	n1	quantity	quantity	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Basha	Basha	n1	Basham	bassa	0
of	of	pp-f	of	of	0
Aman	Aman	np1	Aman	Aman	0
presented	presented	vvd	presented	present	0
100.	100.	crd	100.	100	0
garments	garments	n2	garments	garment	0
of	of	pp-f	of	of	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
20.	20.	crd	20.	20.	0
horses	horses	n2	horses	horse	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
cup	cup	n1	cup	cup	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
thousand	thousand	crd	thousand	thousand	0
duckets	duckets	n2	ducats	ducat	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Saniaque	Saniaque	fw-la	Saniaque	saniaque	0
of	of	pp-f	of	of	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
presented	presented	vvd	presented	present	0
six	six	crd	six	six	0
camels	camels	n2	camels	camel	0
,	,	,	,	,	0
charged	charged	vvd	charged	charge	0
all	all	d	all	all	0
with	with	p-acp	with	with	0
silkes	silkes	n2	silks	silk	0
,	,	,	,	,	0
20.	20.	crd	20.	20.	0
horses	horses	n2	horses	horse	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
little	little	j	little	little	0
clocke	clocke	n1	clock	clock	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
garnished	garnished	vvn	garnished	garnish	0
with	with	p-acp	with	with	0
precious	precious	j	precious	precious	0
stones	stones	n2	stones	stone	0
,	,	,	,	,	0
esteemed	esteemed	vvn	esteemed	esteem	0
worth	worth	j	worth	worth	0
two	two	crd	two	two	0
hundred	hundred	crd	hundred	hundred	0
duckets	duckets	n2	ducats	ducat	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
114.	114.	crd	114.	114.	0
]	]	]	]	]	1
The	The	dt	The	the	0
Consul	Consul	n1	Consul	consul	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
in	in	p-acp	in	in	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
,	,	,	,	,	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
kisse	kisse	vvi	kiss	kiss	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
Signiors	Signiors	ng1	Signiors	signior	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
presented	presented	vvd	presented	present	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
great	great	j	great	great	0
basin	basin	n1	basin	basin	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
and	and	cc	and	and	0
therein	therein	av	therein	therein	0
4000.	4000.	crd	4000.	4000	0
duckets	duckets	n2	ducats	ducat	0
Venetians	Venetians	np1	Venetians	Venetians	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
