A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Lok	Lok	np1	Lok	Lok	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
worshipfull	worshipfull	j	worshipful	worshipful	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
Marchants	Marchants	ng1	Merchants	merchant	0
adventurers	adventurers	n2	adventurers	adventurer	0
for	for	p-acp	for	for	0
Guinie	Guinie	zz	Guinie	guinie	0
,	,	,	,	,	0
written	written	vvn	written	write	0
1561	1561	crd	1561	1561	0
,	,	,	,	,	0
shewing	shewing	vvg	showing	show	0
reasons	reasons	n2	reasons	reason	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
not	not	xx	not	not	0
proceeding	proceeding	vvg	proceeding	proceed	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
then	then	av	then	then	0
intended	intended	vvn	intended	intend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
countrey	countrey	n1	country	country	0
.	.	.	.	.	1
Orshipfull	Orshipfull	j	Orshipfull	orshipfull	0
sirs	sirs	n2	sirs	sir	0
;	;	;	;	;	0
since	since	c-acp	since	since	0
the	the	dt	the	the	0
arrivall	arrivall	n1	arrival	arrival	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Pet	Pet	np1	Pet	Pet	0
and	and	cc	and	and	0
Buttoil	Buttoil	n1	Buttoil	buttoil	0
Monjoy	Monjoy	vvi	Monjoy	monjoy	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
understand	understand	vvb	understand	understand	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
concluded	concluded	vvn	concluded	conclude	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
shall	shall	vmb	shall	shall	0
proceed	proceed	vvi	proceed	proceed	0
on	on	p-acp	on	on	0
her	her	po31	her	her	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
if	if	cs	if	if	0
within	within	p-acp	within	within	0
20	20	crd	20	20	0
dayes	dayes	n2	days	day	0
she	she	pns31	she	she	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
repaired	repaired	vvn	repaired	repair	0
of	of	pp-f	of	of	0
