A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
high	high	j	high	high	0
and	and	cc	and	and	0
mighty	mighty	j	mighty	mighty	0
Empresse	Empresse	n1	Empress	empress	0
the	the	dt	the	the	0
wife	wife	n1	wife	wife	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
Sultan	Sultan	n1	Sultan	sultan	0
Murad	Murad	np1	Murad	Murad	0
Can	Can	vmb	Can	can	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesty	Majesty	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
1594.	1594.	crd	1594.	1594.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
114	114	crd	114	114	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
LEt	LEt	vvb	LEt	let	0
the	the	dt	the	the	0
beginning	beginning	n-vvg	beginning	begin	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
discourse	discourse	n1	discourse	discourse	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
perfect	perfect	j	perfect	perfect	0
writing	writing	n1	writing	writing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
indifferently	indifferently	av-j	indifferently	indifferent	0
created	created	vvn	created	create	0
such	such	d	such	such	0
infinite	infinite	j	infinite	infinite	0
numbers	numbers	n2	numbers	number	0
of	of	pp-f	of	of	0
creatures	creatures	n2	creatures	creature	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
had	had	vhd	had	have	0
neither	neither	dx	neither	neither	0
soule	soule	n1	soul	soul	0
nor	nor	ccx	nor	nor	0
body	body	n1	body	body	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
which	which	r-crq	which	which	0
mooveth	mooveth	vvz	moveth	move	0
the	the	dt	the	the	0
nine	nine	crd	nine	nine	0
heavens	heavens	n2	heavens	heaven	0
,	,	,	,	,	0
and	and	cc	and	and	0
stablisheth	stablisheth	vvz	stablisheth	stablish	0
the	the	dt	the	the	0
earth	earth	n1	earth	earth	0
seven	seven	crd	seven	seven	0
times	times	n2	times	time	0
one	one	crd	one	one	0
above	above	p-acp	above	above	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
