451	451	crd	451	451	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Prematica	Prematica	fw-la	Prematica	prematica	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
452	452	crd	452	452	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
EXAMINATION	EXAMINATION	n1	EXAMINATION	examination	0
OF	OF	pp-f	OF	of	0
SPANISH	SPANISH	jp	SPANISH	spanish	0
PILOTS	PILOTS	n2	PILOTS	pilot	0
a.d.	a.d.	n1	a.d.	a.d.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
..	..	..	..	..	1
1586.	1586.	crd	1586.	1586.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
examination	examination	n1	examination	examination	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Masters	Masters	n2	Master's	master	0
and	and	cc	and	and	0
Pilots	Pilots	n2	Pilots	pilot	0
which	which	r-crq	which	which	0
saile	saile	vvb	sail	sail	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fleetes	Fleetes	n2	Fleets	fleet	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
:	:	:	:	:	0
Written	Written	vvn	Written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Spanish	Spanish	jp	Spanish	spanish	0
tongue	tongue	n1	tongue	tongue	0
by	by	p-acp	by	by	0
Pedro	Pedro	np1	Pedro	Pedro	0
Dias	Dias	np1	Dias	Dias	0
a	a	dt	a	a	0
Spanish	Spanish	jp	Spanish	spanish	0
pilot	pilot	n1	pilot	pilot	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Grinville	Grinville	np1	Grinville	Grinville	0
1585.	1585.	crd	1585.	1585.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
First	First	ord	First	first	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
suit	suit	n1	suit	suit	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Pilot	Pilot	n1	Pilot	pilot	0
major	major	j	major	major	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
